unit;airpol;airemsect;geo\time;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
MIO_T;GHG;CRF1;IT;339.79804;358.70677;384.45006;407.80609;421.29925;411.51756;455.73912;463.099;471.1606;476.0032;477.79336;476.46131;460.79641;458.96258;454.26673;451.14627;446.37646;435.0882;431.13934;435.46467;411.03463;417.89954;421.39881;422.39548;422.14782;;;;;
MIO_T;GHG;CRF1;LI;0.16426;0.19587;0.18869;0.18012;0.19411;0.20863;0.22277;0.20387;0.23409;0.23181;0.23202;0.23221;0.22285;0.21756;0.21988;0.22944;0.23206;0.22117;0.20862;0.20678;0.20361;0.21757;0.20944;0.20863;0.20106;;;;;
MIO_T;GHG;CRF1;LT;10.91556;11.29934;11.90852;11.87325;12.7687;11.80874;13.0533;13.22549;13.02003;12.88614;12.16884;11.53017;11.5239;11.43229;10.80822;12.36175;14.7346;14.05444;14.52225;14.06545;15.04695;16.00568;19.8885;35.19128;33.12367;;;;;
MIO_T;GHG;CRF1;LU;9.40304;9.88716;10.44509;10.68015;10.81732;10.27169;10.72494;10.82078;11.41604;11.60781;11.33011;9.95348;9.51065;8.75333;8.17738;7.38773;7.0603;7.81085;8.38356;8.26047;10.30693;11.02695;10.88079;11.02326;10.41119;;;;;
MIO_T;GHG;CRF1;LV;6.95297;7.11763;7.19526;7.51133;8.37965;7.58411;8.3051;8.7583;8.43373;8.00377;7.89221;7.86385;7.70729;7.70347;7.27872;7.89377;8.52863;8.94356;9.51329;9.44774;10.71049;12.33912;14.43458;17.76742;19.28359;;;;;
MIO_T;GHG;CRF1;MT;2.49886;2.49115;2.88483;2.80104;2.70215;2.69847;2.83746;2.84684;2.79006;2.75067;2.61805;2.6796;2.47664;2.56396;2.42696;2.43105;2.34941;2.34272;2.33993;2.32351;2.31344;2.26268;2.18455;2.05005;1.86832;;;;;
MIO_T;GHG;CRF1;NL;153.7897;161.3567;161.53997;165.11809;178.48812;166.81956;171.89048;167.75125;167.63918;171.8283;175.94195;174.44123;171.0682;171.58521;166.00212;165.07955;170.51101;169.25483;177.57768;167.755;169.05049;166.13771;165.35293;164.96911;156.48082;;;;;
MIO_T;GHG;CRF1;NO;;39.5103;39.71774;40.15832;41.07939;39.22112;39.491;40.76584;38.97786;38.2435;38.70275;38.78903;37.45479;37.78306;35.9271;36.5762;35.74422;35.68481;35.76429;32.57901;32.7611;31.1737;29.91116;29.04517;30.07339;;;;;
MIO_T;GHG;CRF1;PL;308.84816;323.06286;327.42019;332.3543;335.48842;318.23343;329.65855;336.12228;339.60928;328.46221;328.61621;325.26675;314.09735;322.1395;322.21907;336.09753;344.98172;376.41909;387.36641;372.5281;371.79945;378.12855;375.70383;386.03445;386.321;461.08149;483.40987;;;
MIO_T;GHG;CRF1;PT;43.97869;44.40064;46.49301;47.99023;48.83862;53.93209;54.99924;56.61912;59.70038;64.36295;61.77812;59.77491;64.82956;61.13261;60.68457;62.23358;54.79617;50.30329;47.68047;50.33021;46.78757;46.13481;47.39615;42.86275;41.31863;;;;;
