Croatia;2007;31457
Italy;2007;559336
Cyprus;2007;8830
Latvia;2007;19065
Lithuania;2007;29880
Luxembourg;2007;37106
Hungary;2007;69253
Malta;2007;2502
Netherlands;2007;152068
Austria;2007;123631
Poland;2007;281284
Portugal;2007;93245
Romania;2007;89561
Slovenia;2007;24809
Slovakia;2007;43838
Finland;2007;65195
Sweden;2007;75409
United Kingdom;2007;515716
Iceland;2007;5535
Liechtenstein;2007;304
Norway;2007;48500
Switzerland;2007;48758
Turkey;2007;457909
EU (28 countries);2008;4266399
Belgium;2008;131412
Bulgaria;2008;47686
Czech Republic;2008;67485
Denmark;2008;60828
Germany;2008;570624
Estonia;2008;11672
Ireland;2008;48882
Greece;2008;141968
Spain;2008;436028
France;2008;638336
Croatia;2008;30427
Italy;2008;529607
Cyprus;2008;8683
Latvia;2008;16625
Lithuania;2008;30749
Luxembourg;2008;33987
Hungary;2008;68073
Malta;2008;2365
Netherlands;2008;146591
Austria;2008;108597
Poland;2008;274468
Portugal;2008;83504
Romania;2008;93443
Slovenia;2008;28907
Slovakia;2008;43249
Finland;2008;59561
Sweden;2008;69166
United Kingdom;2008;483476
Iceland;2008;4932
Liechtenstein;2008;281
Norway;2008;46501
Switzerland;2008;46943
Turkey;2008;411106
EU (28 countries);2009;3894986
Belgium;2009;124274
Bulgaria;2009;44580
Czech Republic;2009;58243
Denmark;2009;53172
Germany;2009;519868
Estonia;2009;9536
Ireland;2009;42148
Greece;2009;136463
Spain;2009;393059
France;2009;595355
Croatia;2009;27856
Italy;2009;500649
Cyprus;2009;7790
Latvia;2009;14604
Lithuania;2009;27307
Luxembourg;2009;28160
Hungary;2009;63170
Malta;2009;2378
Netherlands;2009;133906
Austria;2009;99378
Poland;2009;266744
Portugal;2009;81042
Romania;2009;91733
Slovenia;2009;24112
Slovakia;2009;37638
Finland;2009;52146
Sweden;2009;60955
United Kingdom;2009;398721
Iceland;2009;4974
Liechtenstein;2009;269
Norway;2009;42564
Switzerland;2009;42880
Turkey;2009;395325
EU (28 countries);2010;3754017
Belgium;2010;124755
Bulgaria;2010;41659
Czech Republic;2010;47615
Denmark;2010;50765
Germany;2010;502115
Estonia;2010;9754
Ireland;2010;37642
Greece;2010;103683
Spain;2010;371239
France;2010;589662
Croatia;2010;26500
Italy;2010;488075
Cyprus;2010;7663
Latvia;2010;15981
Lithuania;2010;27770
Luxembourg;2010;28008
Hungary;2010;56703
Malta;2010;2058
Netherlands;2010;128959
Austria;2010;98054
Poland;2010;283234
Portugal;2010;79694
Romania;2010;83842
Slovenia;2010;23266
Slovakia;2010;40487
Finland;2010;49407
Sweden;2010;58765
United Kingdom;2010;376663
Iceland;2010;4539
Liechtenstein;2010;259
Norway;2010;39124
Switzerland;2010;40417
Turkey;2010;375289
EU (28 countries);2011;3585277
Belgium;2011;117088
Bulgaria;2011;40145
Czech Republic;2011;43231
Denmark;2011;48646
Germany;2011;478405
Estonia;2011;9454
Ireland;2011;36741
Greece;2011;85447
Spain;2011;346448
France;2011;569605
Croatia;2011;24976
Italy;2011;478309
Cyprus;2011;7187
Latvia;2011;12577
Lithuania;2011;25049
Luxembourg;2011;27650
Hungary;2011;52260
Malta;2011;2495
Netherlands;2011;126145
Austria;2011;90321
Poland;2011;288943
Portugal;2011;75035
Romania;2011;84210
Slovenia;2011;24222
Slovakia;2011;37191
Finland;2011;46260
Sweden;2011;54882
United Kingdom;2011;352355
Iceland;2011;4441
Liechtenstein;2011;254
Norway;2011;37163
Switzerland;2011;38828
Turkey;2011;503333
EU (28 countries);2012;3344197
Belgium;2012;102968
Bulgaria;2012;41645
Czech Republic;2012;38587
Denmark;2012;44531
Germany;2012;463089
Estonia;2012;9471
Ireland;2012;35084
Greece;2012;68103
Spain;2012;313941
France;2012;537977
Croatia;2012;22664
Italy;2012;427101
Cyprus;2012;6350
Latvia;2012;11865
Lithuania;2012;27109
Luxembourg;2012;24538
Hungary;2012;48306
Malta;2012;2689
Netherlands;2012;115650
Austria;2012;85550
Poland;2012;277199
Portugal;2012;65764
Romania;2012;86993
Slovenia;2012;24118
Slovakia;2012;37070
Finland;2012;43281
Sweden;2012;51230
United Kingdom;2012;331325
Iceland;2012;4473
Liechtenstein;2012;249
Norway;2012;36268
Switzerland;2012;38666
Turkey;2012;503333
EU (28 countries);2013;3146364
Belgium;2013;99023
Bulgaria;2013;36002
Czech Republic;2013;36207
Denmark;2013;41221
Germany;2013;455097
Estonia;2013;8871
Ireland;2013;36197
Greece;2013;49429
Spain;2013;294548
France;2013;516212
Croatia;2013;24316
Italy;2013;400991
Cyprus;2013;5299
Latvia;2013;11549
Lithuania;2013;27024
Luxembourg;2013;23388
Hungary;2013;45341
Malta;2013;524
Netherlands;2013;107001
Austria;2013;86345
Poland;2013;228419
Portugal;2013;66748
Romania;2013;84961
Slovenia;2013;22436
Slovakia;2013;37076
Finland;2013;40422
Sweden;2013;48397
United Kingdom;2013;313321
Iceland;2013;4622
Liechtenstein;2013;244
Norway;2013;34860
Switzerland;2013;37985
Turkey;2013;503333
EU (28 countries);2014;3078049
Belgium;2014;96616
Bulgaria;2014;38833
Czech Republic;2014;35606
Denmark;2014;38455
Germany;2014;435150
Estonia;2014;8309
Ireland;2014;36791
Greece;2014;76170
Spain;2014;293932
France;2014;497940
Croatia;2014;22884
Italy;2014;393887
Cyprus;2014;5303
Latvia;2014;11747
Lithuania;2014;26974
Luxembourg;2014;19094
Hungary;2014;47843
Malta;2014;3109
Netherlands;2014;92409
Austria;2014;79686
Poland;2014;219743
Portugal;2014;65793
Romania;2014;86223
Slovenia;2014;20426
Slovakia;2014;40028
Finland;2014;38049
Sweden;2014;46902
United Kingdom;2014;300148
Iceland;2014;4472
Liechtenstein;2014;236
Norway;2014;32390
Switzerland;2014;36585
Turkey;2014;503333
