Lieu	N° région, département	Série	Unité	Année	Valeur
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	9.6
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	32.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	5.5
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	8.59
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	1.3
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	4.9
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	111.04
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	28.09
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	39.63
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	1.09
CHAMPAGNE-ARDENNE	21	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
CORSE	94	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	ND
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	ND
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	71.71
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
D.O.M.	97	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	ND
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	ND
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	ND
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	ND
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	520.071
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	515.511
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	476.019
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	664.364
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	2049.643
France entière		EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	537.696
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	16.6
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	15.7
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	13.0
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	11.6
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	14.45
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	14.0
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	11.0
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	7.0
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	10.2
FRANCHE COMTE	43	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	6.7
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
HAUTE NORMANDIE	23	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
