Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
ALSACE	42	EN16Consommation totale d'énergie par l'industrie	ktep	1711.0	1741.0	1796.0	1843.0	1930.0	1832.0	1581.0	2092.0	1751.0	1607.0	1862.0	1976.0
ALSACE	42	EN16Consommation de charbon et coke de houille dans l'industrie	kt	99.0	72.0	56.0	47.0	42.0	20.0	9.0	6.0	6.0	6.0	2.0	5.0
ALSACE	42	EN16Consommation de charbon et coke de houille dans l'industrie	ktep	62.0	45.0	35.0	29.0	26.0	12.0	6.0	4.0	4.0	4.0	2.0	4.0
ALSACE	42	EN16Consommation de produits pétroliers dans l'industrie	ktep	251.0	205.0	202.0	180.0	215.0	138.0	105.0	206.0	184.0	170.0	163.0	128.0
ALSACE	42	EN16Consommation de gaz naturel et de réseaux dans l'industrie	GWh	12189.0	12631.0	13157.0	13977.0	14458.0	13848.0	10992.0	15563.0	11245.0	9801.0	13655.0	16522.0
ALSACE	42	EN16Consommation de gaz naturel et de réseaux dans l'industrie	ktep	939.0	973.0	1013.0	1076.0	1113.0	1066.0	846.0	1198.0	866.0	755.0	1051.0	1272.0
ALSACE	42	EN16Consommation d'électricité dans l'industrie	GWh	5163.0	5819.0	6137.0	6241.0	6527.0	6705.0	6861.0	7024.0	6818.0	6710.0	6329.0	5601.0
ALSACE	42	EN16Consommation d'électricité dans l'industrie	ktep	444.0	500.0	528.0	537.0	561.0	577.0	590.0	604.0	586.0	577.0	544.0	482.0
ALSACE	42	EN16Consommation de bois-énergie dans l'industrie	ktep	ND	ND	ND	ND	ND	ND	ND	12.0	27.0	37.0	38.0	25.0
ALSACE	42	EN16Consommation d'autres énergies renouvelables dans l'industrie	ktep	ND	ND	ND	ND	ND	ND	ND	1.0	6.0	7.0	1.0	1.0
ALSACE	42	EN16Achat de vapeur dans l'industrie	ktep	16.0	19.0	18.0	20.0	14.0	38.0	33.0	40.0	40.0	35.0	37.0	57.0
ALSACE	42	EN16Consommation de combustibles spéciaux non renouvelables	ktep	ND	ND	ND	ND	ND	ND	ND	26.0	38.0	22.0	26.0	7.0
ALSACE	42	EN16Consommation totale d'énergie par l'industrie (champ constant)	ktep	1711.0	1741.0	1796.0	1843.0	1930.0	1832.0	1581.0	1945.0	1578.0	1436.0	1695.0	1863.0
ALSACE	42	EN16Consommation de produits pétroliers dans l'industrie (champ constant)	ktep	251.0	205.0	202.0	180.0	215.0	138.0	105.0	98.0	82.0	65.0	61.0	48.0
ALSACE	42	EN16Consommation de bois-énergie dans l'industrie (champ constant)	ktep	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0
ALSACE	42	EN16Consommation d'autres énergies renouvelables dans l'industrie (champ constant)	ktep	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0
ALSACE	42	EN16Consommation de combustibles spéciaux non renouvelables (champ constant)	ktep	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0
AQUITAINE	72	EN16Consommation totale d'énergie par l'industrie	ktep	1388.0	1279.0	1353.0	1432.0	1443.0	1520.0	1608.0	2218.0	2404.0	2250.0	2258.0	2061.0
AQUITAINE	72	EN16Consommation de charbon et coke de houille dans l'industrie	kt	88.0	103.0	64.0	68.0	52.0	65.0	58.0	71.0	82.0	80.0	91.0	72.0
AQUITAINE	72	EN16Consommation de charbon et coke de houille dans l'industrie	ktep	55.0	64.0	40.0	42.0	32.0	40.0	36.0	44.0	51.0	50.0	57.0	45.0
AQUITAINE	72	EN16Consommation de produits pétroliers dans l'industrie	ktep	226.0	229.0	173.0	171.0	197.0	164.0	183.0	205.0	182.0	220.0	168.0	130.0
AQUITAINE	72	EN16Consommation de gaz naturel et de réseaux dans l'industrie	GWh	8110.0	7196.0	9006.0	9536.0	9172.0	9333.0	8999.0	10696.0	12883.0	10246.0	9777.0	7766.0
AQUITAINE	72	EN16Consommation de gaz naturel et de réseaux dans l'industrie	ktep	624.0	554.0	693.0	734.0	706.0	719.0	693.0	824.0	992.0	789.0	753.0	598.0
AQUITAINE	72	EN16Consommation d'électricité dans l'industrie	GWh	5469.0	4823.0	4997.0	5423.0	5609.0	5674.0	6248.0	6792.0	6054.0	6084.0	5598.0	5598.0
AQUITAINE	72	EN16Consommation d'électricité dans l'industrie	ktep	470.0	415.0	430.0	466.0	482.0	488.0	537.0	584.0	521.0	523.0	481.0	481.0
AQUITAINE	72	EN16Consommation de bois-énergie dans l'industrie	ktep	ND	ND	ND	ND	ND	ND	ND	385.0	445.0	457.0	586.0	595.0
AQUITAINE	72	EN16Consommation d'autres énergies renouvelables dans l'industrie	ktep	ND	ND	ND	ND	ND	ND	ND	7.0	2.0	7.0	6.0	11.0
AQUITAINE	72	EN16Achat de vapeur dans l'industrie	ktep	13.0	17.0	16.0	18.0	25.0	110.0	159.0	150.0	180.0	176.0	187.0	189.0
AQUITAINE	72	EN16Consommation de combustibles spéciaux non renouvelables	ktep	ND	ND	ND	ND	ND	ND	ND	19.0	32.0	27.0	19.0	12.0
AQUITAINE	72	EN16Consommation totale d'énergie par l'industrie (champ constant)	ktep	1388.0	1279.0	1353.0	1432.0	1443.0	1520.0	1608.0	1805.0	1925.0	1759.0	1647.0	1443.0
AQUITAINE	72	EN16Consommation de produits pétroliers dans l'industrie (champ constant)	ktep	226.0	229.0	173.0	171.0	197.0	164.0	183.0	203.0	182.0	220.0	168.0	130.0
AQUITAINE	72	EN16Consommation de bois-énergie dans l'industrie (champ constant)	ktep	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0
AQUITAINE	72	EN16Consommation d'autres énergies renouvelables dans l'industrie (champ constant)	ktep	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0
AQUITAINE	72	EN16Consommation de combustibles spéciaux non renouvelables (champ constant)	ktep	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0
AUVERGNE	83	EN16Consommation totale d'énergie par l'industrie	ktep	626.0	609.0	590.0	611.0	700.0	665.0	551.0	712.0	710.0	661.0	661.0	586.0
AUVERGNE	83	EN16Consommation de charbon et coke de houille dans l'industrie	kt	86.0	65.0	65.0	60.0	59.0	56.0	23.0	46.0	51.0	56.0	64.0	54.0
AUVERGNE	83	EN16Consommation de charbon et coke de houille dans l'industrie	ktep	53.0	40.0	40.0	37.0	36.0	34.0	15.0	30.0	33.0	37.0	41.0	36.0
AUVERGNE	83	EN16Consommation de produits pétroliers dans l'industrie	ktep	175.0	154.0	113.0	104.0	126.0	82.0	84.0	78.0	79.0	80.0	59.0	58.0
AUVERGNE	83	EN16Consommation de gaz naturel et de réseaux dans l'industrie	GWh	2382.0	2554.0	2790.0	3203.0	3662.0	3990.0	2488.0	3990.0	4054.0	3243.0	3981.0	3149.0
AUVERGNE	83	EN16Consommation de gaz naturel et de réseaux dans l'industrie	ktep	183.0	197.0	215.0	247.0	282.0	307.0	192.0	307.0	312.0	250.0	307.0	242.0
AUVERGNE	83	EN16Consommation d'électricité dans l'industrie	GWh	2343.0	2387.0	2447.0	2570.0	2812.0	2777.0	2943.0	3113.0	3002.0	3033.0	2594.0	2594.0
