Lieu;Département;Série;Unité;Année;Valeur
BRETAGNE;53;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;17.0
BRETAGNE;53;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;11.8
BRETAGNE;53;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;0.0
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;28.0
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;48.76
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;28.8
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;43.57
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;0.0
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;37.311
CENTRE-VAL DE LOIRE;24;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;13.5
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;30.0
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;43.0
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;10.3
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;0.0
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;134.6
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;86.95
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;64.76
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;122.49
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;44.27
CHAMPAGNE-ARDENNE;21;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;41.82
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;0.0
CORSE;94;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;0.0
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;ND
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;ND
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;ND
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;ND
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;0.0
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;0.0
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;0.0
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;0.0
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;0.0
D.O.M.;97;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;0.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;320.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;310.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;210.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;216.46
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;181.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;191.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;213.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;226.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;258.0
FRANCHE COMTE;43;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;219.0
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;ND
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;ND
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;ND
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;ND
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;4173.234
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;4135.461
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;4065.768
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;2871.483
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;3041.958
France entière;;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;2449.075
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;116.6
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;172.8
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;203.47
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;425.398
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;134.588
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;139.25
HAUTE NORMANDIE;23;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;136.298
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;355.26
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;185.0
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;267.0
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;444.26
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;646.65
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;784.69
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;411.63
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;90.38
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;217.573
ILE DE FRANCE;11;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;192.787
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;31.6
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;14.0
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;15.9
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;16.0
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;10.3
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;78.1
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;24.8
LANGUEDOC-ROUSSILLON;91;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;24.6
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;11.7
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;0.0
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;82.85
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;52.55
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;0.0
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;0.0
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;0.0
LIMOUSIN;74;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;0.0
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;132.0
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;211.18
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;226.959
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;456.572
LORRAINE;41;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;215.303
