Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
ALSACE	42	EN04Production totale d'électricité primaire	GWh	16462.0	15374.0	20295.0	19618.0	21370.0	18313.0	18027.0	18836.0	19306.0	17376.0	18222.0	16148.0
ALSACE	42	EN04dont production électricité nucléaire	GWh	9118.0	7404.0	11527.0	12238.0	12218.0	9552.0	10623.0	11795.0	11643.0	9406.0	10207.0	8667.0
ALSACE	42	EN04dont production électricité hydraulique	GWh	7345.0	7970.0	8768.0	7379.0	9152.0	8760.0	7403.0	7041.0	7663.0	7970.0	8014.0	7472.0
ALSACE	42	EN04dont petite hydraulique	GWh	ND	ND	ND	ND	ND	31.0	27.0	24.0	27.0	31.0	29.0	24.0
ALSACE	42	EN04dont production électricité éolienne	GWh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALSACE	42	EN04dont production électricité photovoltaïque (relié au réseau)	GWh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0
ALSACE	42	EN04Production d'électricité thermique classique (hors nucléaire)	GWh	ND	ND	ND	ND	ND	681.0	669.0	695.0	663.0	640.0	610.0	595.0
ALSACE	42	EN04dont centrale thermique classique hors cogénération	GWh	ND	ND	ND	ND	ND	96.0	104.0	127.0	154.0	128.0	124.0	103.0
ALSACE	42	EN04dont centrale thermique classique en cogénération	GWh	ND	ND	ND	ND	581.0	585.0	564.0	568.0	509.0	512.0	486.0	492.0
ALSACE	42	EN04Production d'électricité thermique renouvelable (a partir de biomasse)	GWh	ND	ND	ND	ND	ND	ND	ND	92.0	80.0	87.0	82.0	86.0
ALSACE	42	EN04Puissance installée totale	MW	ND	ND	ND	ND	ND	3429.0	3388.0	3379.0	3387.0	3388.0	3370.0	3402.0
ALSACE	42	EN04Puissance installée en nucléaire	MW	ND	ND	ND	ND	ND	1760.0	1760.0	1760.0	1760.0	1760.0	1760.0	1760.0
ALSACE	42	EN04Puissance installée en hydraulique	MW	ND	ND	ND	ND	ND	1408.0	1408.0	1407.0	1415.0	1415.0	1399.0	1415.0
