Lieu	N° région, département	Série	Unité	Année	Valeur
BRETAGNE	53	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
BRETAGNE	53	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
BRETAGNE	53	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
BRETAGNE	53	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	3.788
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	47.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	28.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
CENTRE-VAL DE LOIRE	24	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	82.73
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
CHAMPAGNE-ARDENNE	21	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	24.0
