Lieu;Département;Série;Unité;Année;Valeur
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2004;39.365
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2005;12.2
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2006;0.0
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2007;108.0
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2008;35.565
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2009;0.0
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;1999;181.0
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2000;37.3
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2001;49.0
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2002;412.0
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2004;87.039
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2005;148.11
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2006;136.91
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2007;648.84
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2008;39.4
CHAMPAGNE-ARDENNE;21;AI08Cadmium - Quantités annuelles émises;kg/an;2009;38.15
CORSE;94;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
CORSE;94;AI08Cadmium - Quantités annuelles émises;kg/an;2000;0.0
CORSE;94;AI08Cadmium - Quantités annuelles émises;kg/an;2001;0.0
CORSE;94;AI08Cadmium - Quantités annuelles émises;kg/an;2002;0.0
CORSE;94;AI08Cadmium - Quantités annuelles émises;kg/an;2004;56.3
CORSE;94;AI08Cadmium - Quantités annuelles émises;kg/an;2005;66.0
