pesticid,unit,geo\time	2014 	2013 	2012 	2011 
PGR,KG,EE	56636 	47410 	34024 	31687 
PGR,KG,EL	148483 	75264 b	22593 	21280 
PGR,KG,ES	156383 	168640 	181264 	223241 
PGR,KG,FI	88646 	100193 	92630 	59333 
PGR,KG,FR	2802877 	2394545 	2549349 	2497687 
PGR,KG,HR	72157 	66595 	: 	: 
PGR,KG,HU	203314 	185575 	208817 	223697 
PGR,KG,IE	: c	247529 	242244 	189124 
PGR,KG,IT	367432 	318876 	359049 	466716 
PGR,KG,LT	502943 	513046 	313514 	402931 
PGR,KG,LU	: 	: c	: c	: c
PGR,KG,LV	274510 	257621 	236519 	163599 
PGR,KG,MT	0 	0 	: 	: 
PGR,KG,NL	452039 	351603 	303690 	206187 
PGR,KG,NO	39114 	36343 	58923 	38396 
PGR,KG,PL	2127974 	1500996 	1365917 	1593141 
PGR,KG,PT	1406 	671 	10907 	3868 
PGR,KG,RO	270600 	260171 	513240 	335296 
PGR,KG,SE	29302 	26317 	: c	20692 
PGR,KG,SI	580 	564 	784 	594 
PGR,KG,SK	179808 	143017 	191609 	112724 
PGR,KG,UK	2156812 	1169625 	1822822 	1573860 
ZR,KG,AT	46419 	80571 	43079 	58200 
ZR,KG,BE	521620 	452585 	389438 	399048 
ZR,KG,CH	323594 	323010 	299600 	322500 
ZR,KG,CY	12458 	0 	0 	: c
ZR,KG,CZ	416247 	402437 	395583 	462096 
ZR,KG,DE	12058009 	11529917 	12081053 	11122747 
ZR,KG,DK	33903 	6057 	8955 	3172 
ZR,KG,EE	: c	: c	: c	: c
ZR,KG,EL	107670 	1090818 b	989933 	733481 
ZR,KG,ES	17792964 	17262176 	14822087 	19420624 
ZR,KG,FI	1974465 	1805628 	1609265 	1310815 
ZR,KG,FR	3607514 	2902056 	3330095 	2625837 
ZR,KG,HR	4485 	26990 	: 	: 
ZR,KG,HU	190869 	172715 	357016 	1134554 
ZR,KG,IE	0 	20651 	9639 	19843 
ZR,KG,IT	15605228 	6435409 	9248307 	10137993 
ZR,KG,LT	: c	: c	: c	: c
ZR,KG,LU	: 	: c	: c	: c
ZR,KG,LV	6642 	6405 	8341 	5966 
ZR,KG,MT	: c	25906 	22234 	24365 
ZR,KG,NL	1780842 	3042230 	3067527 	3181650 
ZR,KG,NO	675 	519 	581 	131 
ZR,KG,PL	392283 	384626 	430170 	689379 
ZR,KG,PT	1463967 	547868 	1322614 	1158091 
ZR,KG,RO	23091 	32909 	26415 	30055 
ZR,KG,SE	17134 	18141 	16220 	10903 
ZR,KG,SI	10523 	18272 	15858 	20326 
ZR,KG,SK	129406 	74458 	24832 	8881 
ZR,KG,UK	: c	: c	10805 	17914 
