pe_type,unit,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PE_1,T_AI,DK	911 	592 	576 	744 	642 	580 	605 	593 	650 	756 	817 	869 	631 	1055 	892 	1033 	1333 	1426 	1396 	1270 	1082 	1124 	1682 	2199 	2257 	1897 	1449 	1094 	: 
PE_1,T_AI,EE	: 	38 	54 	37 	34 	26 	27 	19 	21 	8 	13 	15 	26 	24 	21 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,EL	: 	: 	: 	: 	: 	: 	: 	4860 	4676 	3707 	4731 	3104 	3248 	3072 	3125 	3474 	2670 	2530 	: 	1925 	1638 	1932 	2056 	18195 	27343 	: 	: 	: 	25364 
PE_1,T_AI,ES	: 	: 	: 	: 	: 	: 	: 	7854 	10528 	10978 	11984 	11299 	10165 	9021 	10354 	9344 	10248 	11582 	12312 	12978 	12894 	11022 	8464 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,EU15	: 	: 	: 	: 	: 	: 	: 	149085 	159093 	167333 	167910 	167190 	123395 	115453 	118663 	131326 	123211 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,FI	: 	: 	259 	253 	236 	221 	224 	192 	177 	220 	209 	154 	115 	114 	209 	210 	194 	146 	163 	178 	144 	101 	111 	110 	105 	101 	118 	113 	99 
PE_1,T_AI,FR	: 	36919 	35957 	35921 	37175 	39317 	43351 	54130 	52834 	63021 	58807 	64050 	48625 	42578 	49399 	54254 	44786 	55565 	41514 	46139 	49774 	45193 	48854 	48569 	56640 	51140 	56648 	45260 	39566 
PE_1,T_AI,HU	3008 	2602 	2845 	2612 	2819 	2407 	2264 	1691 	1590 	1690 	1896 	1591 	1989 	2064 	2835 	2556 	3186 	4163 	7159 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,IE	: 	: 	551 	571 	734 	627 	458 	430 	459 	415 	593 	698 	550 	574 	684 	637 	662 	514 	459 	537 	544 	: 	: 	: 	: 	497 	: 	: 	210 
PE_1,T_AI,IT	: 	: 	50749 	53804 	52894 	54427 	63196 	48523 	52377 	52865 	53605 	52638 	25074 	25546 	24535 	32237 	33737 	: 	58473 	57088 	65571 	69012 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	186 	224 	182 	181 	154 	158 	160 	: 	113 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_1,T_AI,LV	: 	146 	339 	113 	97 	82 	69 	60 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
