airpol,cpa08,induse,origin,unit,geo\time	2012 	2011 	2010 
CH4,CPA_A02,P3_S14,DOM,T,EU28	6454 	6167 	7284 
CH4,CPA_A02,P3_S14,DOM,THS_T,EU28	6.454 	6.167 	7.284 
CH4,CPA_A02,P3_S14,ROW,T,EU28	1703 	2007 	2029 
CH4,CPA_A02,P3_S14,ROW,THS_T,EU28	1.703 	2.007 	2.029 
CH4,CPA_A02,P3_S14,WORLD,T,EU28	8157 	8174 	9313 
CH4,CPA_A02,P3_S14,WORLD,THS_T,EU28	8.157 	8.174 	9.313 
CH4,CPA_A02,P3_S15,DOM,T,EU28	0 	1 	1 
CH4,CPA_A02,P3_S15,DOM,THS_T,EU28	0 	0.001 	0.001 
CH4,CPA_A02,P3_S15,ROW,T,EU28	0 	0 	0 
CH4,CPA_A02,P3_S15,ROW,THS_T,EU28	0 	0 	0 
CH4,CPA_A02,P3_S15,WORLD,T,EU28	0 	2 	2 
CH4,CPA_A02,P3_S15,WORLD,THS_T,EU28	0 	0.002 	0.002 
CH4,CPA_A02,P5,DOM,T,EU28	2734 	5046 	3394 
CH4,CPA_A02,P5,DOM,THS_T,EU28	2.734 	5.046 	3.394 
CH4,CPA_A02,P5,ROW,T,EU28	734 	1570 	908 
CH4,CPA_A02,P5,ROW,THS_T,EU28	0.734 	1.57 	0.908 
CH4,CPA_A02,P5,WORLD,T,EU28	3468 	6616 	4303 
CH4,CPA_A02,P5,WORLD,THS_T,EU28	3.468 	6.616 	4.303 
CH4,CPA_A02,P51G,DOM,T,EU28	748 	662 	704 
CH4,CPA_A02,P51G,DOM,THS_T,EU28	0.748 	0.662 	0.704 
CH4,CPA_A02,P51G,ROW,T,EU28	192 	206 	183 
CH4,CPA_A02,P51G,ROW,THS_T,EU28	0.192 	0.206 	0.183 
CH4,CPA_A02,P51G,WORLD,T,EU28	939 	868 	887 
CH4,CPA_A02,P51G,WORLD,THS_T,EU28	0.939 	0.868 	0.887 
CH4,CPA_A02,P52,DOM,T,EU28	1986 	4384 	2690 
CH4,CPA_A02,P52,DOM,THS_T,EU28	1.986 	4.384 	2.69 
CH4,CPA_A02,P52,ROW,T,EU28	543 	1364 	725 
CH4,CPA_A02,P52,ROW,THS_T,EU28	0.543 	1.364 	0.725 
CH4,CPA_A02,P52,WORLD,T,EU28	2529 	5748 	3415 
CH4,CPA_A02,P52,WORLD,THS_T,EU28	2.529 	5.748 	3.415 
CH4,CPA_A02,P53,DOM,T,EU28	0 	0 	0 
CH4,CPA_A02,P53,DOM,THS_T,EU28	0 	0 	0 
