airpol,cpa08,induse,origin,unit,geo\time	2012 	2011 	2010 
CH4_EQ,CPA_K65,TFU,ROW,T,EU28	497470 	578676 	538186 
CH4_EQ,CPA_K65,TFU,ROW,THS_T,EU28	497.47 	578.676 	538.186 
CH4_EQ,CPA_K65,TFU,WORLD,T,EU28	1524525 	1660652 	1632867 
CH4_EQ,CPA_K65,TFU,WORLD,THS_T,EU28	1524.525 	1660.652 	1632.867 
CH4_EQ,CPA_K66,P3,DOM,T,EU28	80663 	74475 	81996 
CH4_EQ,CPA_K66,P3,DOM,THS_T,EU28	80.663 	74.475 	81.996 
CH4_EQ,CPA_K66,P3,ROW,T,EU28	37967 	37513 	38152 
CH4_EQ,CPA_K66,P3,ROW,THS_T,EU28	37.967 	37.513 	38.152 
CH4_EQ,CPA_K66,P3,WORLD,T,EU28	118630 	111988 	120148 
CH4_EQ,CPA_K66,P3,WORLD,THS_T,EU28	118.63 	111.988 	120.148 
CH4_EQ,CPA_K66,P3_S13,DOM,T,EU28	916 	781 	853 
CH4_EQ,CPA_K66,P3_S13,DOM,THS_T,EU28	0.916 	0.781 	0.853 
CH4_EQ,CPA_K66,P3_S13,ROW,T,EU28	432 	407 	396 
CH4_EQ,CPA_K66,P3_S13,ROW,THS_T,EU28	0.432 	0.407 	0.396 
CH4_EQ,CPA_K66,P3_S13,WORLD,T,EU28	1348 	1188 	1248 
CH4_EQ,CPA_K66,P3_S13,WORLD,THS_T,EU28	1.348 	1.188 	1.248 
CH4_EQ,CPA_K66,P3_S14,DOM,T,EU28	79748 	73694 	81143 
CH4_EQ,CPA_K66,P3_S14,DOM,THS_T,EU28	79.748 	73.694 	81.143 
CH4_EQ,CPA_K66,P3_S14,ROW,T,EU28	37535 	37105 	37757 
CH4_EQ,CPA_K66,P3_S14,ROW,THS_T,EU28	37.535 	37.105 	37.757 
CH4_EQ,CPA_K66,P3_S14,WORLD,T,EU28	117282 	110799 	118900 
CH4_EQ,CPA_K66,P3_S14,WORLD,THS_T,EU28	117.282 	110.799 	118.9 
CH4_EQ,CPA_K66,P3_S15,DOM,T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P3_S15,DOM,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P3_S15,ROW,T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P3_S15,ROW,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P3_S15,WORLD,T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P3_S15,WORLD,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P5,DOM,T,EU28	1294 	1286 	1630 
CH4_EQ,CPA_K66,P5,DOM,THS_T,EU28	1.294 	1.286 	1.63 
CH4_EQ,CPA_K66,P5,ROW,T,EU28	609 	642 	742 
CH4_EQ,CPA_K66,P5,ROW,THS_T,EU28	0.609 	0.642 	0.742 
CH4_EQ,CPA_K66,P5,WORLD,T,EU28	1904 	1929 	2372 
CH4_EQ,CPA_K66,P5,WORLD,THS_T,EU28	1.904 	1.929 	2.372 
CH4_EQ,CPA_K66,P51G,DOM,T,EU28	1293 	1222 	1481 
CH4_EQ,CPA_K66,P51G,DOM,THS_T,EU28	1.293 	1.222 	1.481 
CH4_EQ,CPA_K66,P51G,ROW,T,EU28	609 	611 	674 
CH4_EQ,CPA_K66,P51G,ROW,THS_T,EU28	0.609 	0.611 	0.674 
CH4_EQ,CPA_K66,P51G,WORLD,T,EU28	1902 	1833 	2154 
CH4_EQ,CPA_K66,P51G,WORLD,THS_T,EU28	1.902 	1.833 	2.154 
CH4_EQ,CPA_K66,P52,DOM,T,EU28	1 	64 	149 
CH4_EQ,CPA_K66,P52,DOM,THS_T,EU28	0.001 	0.064 	0.149 
CH4_EQ,CPA_K66,P52,ROW,T,EU28	0 	31 	68 
CH4_EQ,CPA_K66,P52,ROW,THS_T,EU28	0 	0.031 	0.068 
CH4_EQ,CPA_K66,P52,WORLD,T,EU28	1 	96 	217 
CH4_EQ,CPA_K66,P52,WORLD,THS_T,EU28	0.001 	0.096 	0.217 
CH4_EQ,CPA_K66,P53,DOM,T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P53,DOM,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P53,ROW,T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P53,ROW,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P53,WORLD,T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_K66,P5M,DOM,T,EU28	1 	64 	149 
CH4_EQ,CPA_K66,P5M,DOM,THS_T,EU28	0.001 	0.064 	0.149 
CH4_EQ,CPA_K66,P5M,ROW,T,EU28	0 	31 	68 
CH4_EQ,CPA_K66,P5M,ROW,THS_T,EU28	0 	0.031 	0.068 
CH4_EQ,CPA_K66,P5M,WORLD,T,EU28	1 	96 	217 
CH4_EQ,CPA_K66,P5M,WORLD,THS_T,EU28	0.001 	0.096 	0.217 
CH4_EQ,CPA_K66,P6,DOM,T,EU28	16462 	88785 	103973 
CH4_EQ,CPA_K66,P6,DOM,THS_T,EU28	16.462 	88.785 	103.973 
CH4_EQ,CPA_K66,P6,ROW,T,EU28	8192 	48723 	47826 
CH4_EQ,CPA_K66,P6,ROW,THS_T,EU28	8.192 	48.723 	47.826 
CH4_EQ,CPA_K66,P6,WORLD,T,EU28	24654 	137508 	151799 
CH4_EQ,CPA_K66,P6,WORLD,THS_T,EU28	24.654 	137.508 	151.799 
CH4_EQ,CPA_K66,TFU,DOM,T,EU28	98419 	164546 	187599 
CH4_EQ,CPA_K66,TFU,DOM,THS_T,EU28	98.419 	164.546 	187.599 
CH4_EQ,CPA_K66,TFU,ROW,T,EU28	46768 	86878 	86720 
CH4_EQ,CPA_K66,TFU,ROW,THS_T,EU28	46.768 	86.878 	86.72 
CH4_EQ,CPA_K66,TFU,WORLD,T,EU28	145187 	251424 	274319 
CH4_EQ,CPA_K66,TFU,WORLD,THS_T,EU28	145.187 	251.424 	274.319 
CH4_EQ,CPA_L68,P3,DOM,T,EU28	7451574 	7684627 	8010542 
CH4_EQ,CPA_L68,P3,DOM,THS_T,EU28	7451.574 	7684.627 	8010.542 
CH4_EQ,CPA_L68,P3,ROW,T,EU28	2322146 	2588052 	2347126 
CH4_EQ,CPA_L68,P3,ROW,THS_T,EU28	2322.146 	2588.052 	2347.126 
CH4_EQ,CPA_L68,P3,WORLD,T,EU28	9773720 	10272680 	10357668 
CH4_EQ,CPA_L68,P3,WORLD,THS_T,EU28	9773.72 	10272.68 	10357.668 
CH4_EQ,CPA_L68,P3_S13,DOM,T,EU28	132201 	131675 	139975 
CH4_EQ,CPA_L68,P3_S13,DOM,THS_T,EU28	132.201 	131.675 	139.975 
CH4_EQ,CPA_L68,P3_S13,ROW,T,EU28	41158 	44290 	41009 
CH4_EQ,CPA_L68,P3_S13,ROW,THS_T,EU28	41.158 	44.29 	41.009 
CH4_EQ,CPA_L68,P3_S13,WORLD,T,EU28	173359 	175965 	180984 
CH4_EQ,CPA_L68,P3_S13,WORLD,THS_T,EU28	173.359 	175.965 	180.984 
CH4_EQ,CPA_L68,P3_S14,DOM,T,EU28	7315448 	7549363 	7867137 
CH4_EQ,CPA_L68,P3_S14,DOM,THS_T,EU28	7315.448 	7549.363 	7867.137 
CH4_EQ,CPA_L68,P3_S14,ROW,T,EU28	2279764 	2542552 	2305111 
CH4_EQ,CPA_L68,P3_S14,ROW,THS_T,EU28	2279.764 	2542.552 	2305.111 
CH4_EQ,CPA_L68,P3_S14,WORLD,T,EU28	9595212 	10091915 	10172248 
CH4_EQ,CPA_L68,P3_S14,WORLD,THS_T,EU28	9595.212 	10091.915 	10172.248 
CH4_EQ,CPA_L68,P3_S15,DOM,T,EU28	3925 	3589 	3431 
CH4_EQ,CPA_L68,P3_S15,DOM,THS_T,EU28	3.925 	3.589 	3.431 
CH4_EQ,CPA_L68,P3_S15,ROW,T,EU28	1224 	1211 	1005 
CH4_EQ,CPA_L68,P3_S15,ROW,THS_T,EU28	1.224 	1.211 	1.005 
CH4_EQ,CPA_L68,P3_S15,WORLD,T,EU28	5149 	4799 	4436 
CH4_EQ,CPA_L68,P3_S15,WORLD,THS_T,EU28	5.149 	4.799 	4.436 
CH4_EQ,CPA_L68,P5,DOM,T,EU28	186583 	198368 	219301 
CH4_EQ,CPA_L68,P5,DOM,THS_T,EU28	186.583 	198.368 	219.301 
CH4_EQ,CPA_L68,P5,ROW,T,EU28	58178 	66850 	64254 
CH4_EQ,CPA_L68,P5,ROW,THS_T,EU28	58.178 	66.85 	64.254 
CH4_EQ,CPA_L68,P5,WORLD,T,EU28	244761 	265218 	283555 
CH4_EQ,CPA_L68,P5,WORLD,THS_T,EU28	244.761 	265.218 	283.555 
CH4_EQ,CPA_L68,P51G,DOM,T,EU28	186444 	197639 	219000 
CH4_EQ,CPA_L68,P51G,DOM,THS_T,EU28	186.444 	197.639 	219 
CH4_EQ,CPA_L68,P51G,ROW,T,EU28	58134 	66604 	64166 
CH4_EQ,CPA_L68,P51G,ROW,THS_T,EU28	58.134 	66.604 	64.166 
CH4_EQ,CPA_L68,P51G,WORLD,T,EU28	244578 	264243 	283166 
CH4_EQ,CPA_L68,P51G,WORLD,THS_T,EU28	244.578 	264.243 	283.166 
CH4_EQ,CPA_L68,P52,DOM,T,EU28	140 	729 	301 
CH4_EQ,CPA_L68,P52,DOM,THS_T,EU28	0.14 	0.729 	0.301 
CH4_EQ,CPA_L68,P52,ROW,T,EU28	43 	245 	88 
CH4_EQ,CPA_L68,P52,ROW,THS_T,EU28	0.043 	0.245 	0.088 
CH4_EQ,CPA_L68,P52,WORLD,T,EU28	183 	974 	389 
CH4_EQ,CPA_L68,P52,WORLD,THS_T,EU28	0.183 	0.974 	0.389 
CH4_EQ,CPA_L68,P53,DOM,T,EU28	0 	0 	0 
CH4_EQ,CPA_L68,P53,DOM,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_L68,P53,ROW,T,EU28	0 	0 	0 
CH4_EQ,CPA_L68,P53,ROW,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_L68,P53,WORLD,T,EU28	0 	0 	0 
CH4_EQ,CPA_L68,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_L68,P5M,DOM,T,EU28	140 	729 	301 
CH4_EQ,CPA_L68,P5M,DOM,THS_T,EU28	0.14 	0.729 	0.301 
CH4_EQ,CPA_L68,P5M,ROW,T,EU28	43 	245 	88 
CH4_EQ,CPA_L68,P5M,ROW,THS_T,EU28	0.043 	0.245 	0.088 
CH4_EQ,CPA_L68,P5M,WORLD,T,EU28	183 	974 	389 
CH4_EQ,CPA_L68,P5M,WORLD,THS_T,EU28	0.183 	0.974 	0.389 
CH4_EQ,CPA_L68,P6,DOM,T,EU28	13905 	15913 	15878 
CH4_EQ,CPA_L68,P6,DOM,THS_T,EU28	13.905 	15.913 	15.878 
CH4_EQ,CPA_L68,P6,ROW,T,EU28	4334 	5359 	4654 
CH4_EQ,CPA_L68,P6,ROW,THS_T,EU28	4.334 	5.359 	4.654 
CH4_EQ,CPA_L68,P6,WORLD,T,EU28	18239 	21272 	20532 
CH4_EQ,CPA_L68,P6,WORLD,THS_T,EU28	18.239 	21.272 	20.532 
CH4_EQ,CPA_L68,TFU,DOM,T,EU28	7652062 	7898908 	8245722 
CH4_EQ,CPA_L68,TFU,DOM,THS_T,EU28	7652.062 	7898.908 	8245.722 
CH4_EQ,CPA_L68,TFU,ROW,T,EU28	2384658 	2660261 	2416033 
CH4_EQ,CPA_L68,TFU,ROW,THS_T,EU28	2384.658 	2660.261 	2416.033 
CH4_EQ,CPA_L68,TFU,WORLD,T,EU28	10036720 	10559169 	10661755 
CH4_EQ,CPA_L68,TFU,WORLD,THS_T,EU28	10036.72 	10559.169 	10661.755 
CH4_EQ,CPA_M69_M70,P3,DOM,T,EU28	154711 	146417 	144821 
CH4_EQ,CPA_M69_M70,P3,DOM,THS_T,EU28	154.711 	146.417 	144.821 
CH4_EQ,CPA_M69_M70,P3,ROW,T,EU28	67601 	69852 	61711 
CH4_EQ,CPA_M69_M70,P3,ROW,THS_T,EU28	67.601 	69.852 	61.711 
CH4_EQ,CPA_M69_M70,P3,WORLD,T,EU28	222312 	216269 	206532 
CH4_EQ,CPA_M69_M70,P3,WORLD,THS_T,EU28	222.312 	216.269 	206.532 
CH4_EQ,CPA_M69_M70,P3_S13,DOM,T,EU28	12509 	12638 	12986 
CH4_EQ,CPA_M69_M70,P3_S13,DOM,THS_T,EU28	12.509 	12.638 	12.986 
CH4_EQ,CPA_M69_M70,P3_S13,ROW,T,EU28	5474 	5968 	5347 
CH4_EQ,CPA_M69_M70,P3_S13,ROW,THS_T,EU28	5.474 	5.968 	5.347 
CH4_EQ,CPA_M69_M70,P3_S13,WORLD,T,EU28	17982 	18606 	18334 
CH4_EQ,CPA_M69_M70,P3_S13,WORLD,THS_T,EU28	17.982 	18.606 	18.334 
CH4_EQ,CPA_M69_M70,P3_S14,DOM,T,EU28	138704 	130185 	128322 
CH4_EQ,CPA_M69_M70,P3_S14,DOM,THS_T,EU28	138.704 	130.185 	128.322 
CH4_EQ,CPA_M69_M70,P3_S14,ROW,T,EU28	60620 	62216 	54919 
CH4_EQ,CPA_M69_M70,P3_S14,ROW,THS_T,EU28	60.62 	62.216 	54.919 
CH4_EQ,CPA_M69_M70,P3_S14,WORLD,T,EU28	199324 	192400 	183241 
CH4_EQ,CPA_M69_M70,P3_S14,WORLD,THS_T,EU28	199.324 	192.4 	183.241 
CH4_EQ,CPA_M69_M70,P3_S15,DOM,T,EU28	3498 	3594 	3512 
CH4_EQ,CPA_M69_M70,P3_S15,DOM,THS_T,EU28	3.498 	3.594 	3.512 
CH4_EQ,CPA_M69_M70,P3_S15,ROW,T,EU28	1508 	1669 	1445 
CH4_EQ,CPA_M69_M70,P3_S15,ROW,THS_T,EU28	1.508 	1.669 	1.445 
CH4_EQ,CPA_M69_M70,P3_S15,WORLD,T,EU28	5006 	5263 	4957 
CH4_EQ,CPA_M69_M70,P3_S15,WORLD,THS_T,EU28	5.006 	5.263 	4.957 
CH4_EQ,CPA_M69_M70,P5,DOM,T,EU28	226583 	204612 	183660 
CH4_EQ,CPA_M69_M70,P5,DOM,THS_T,EU28	226.583 	204.612 	183.66 
CH4_EQ,CPA_M69_M70,P5,ROW,T,EU28	99571 	98745 	79137 
CH4_EQ,CPA_M69_M70,P5,ROW,THS_T,EU28	99.571 	98.745 	79.137 
CH4_EQ,CPA_M69_M70,P5,WORLD,T,EU28	326154 	303358 	262797 
CH4_EQ,CPA_M69_M70,P5,WORLD,THS_T,EU28	326.154 	303.358 	262.797 
CH4_EQ,CPA_M69_M70,P51G,DOM,T,EU28	224955 	190872 	181894 
CH4_EQ,CPA_M69_M70,P51G,DOM,THS_T,EU28	224.955 	190.872 	181.894 
CH4_EQ,CPA_M69_M70,P51G,ROW,T,EU28	98787 	92161 	78411 
CH4_EQ,CPA_M69_M70,P51G,ROW,THS_T,EU28	98.787 	92.161 	78.411 
CH4_EQ,CPA_M69_M70,P51G,WORLD,T,EU28	323742 	283033 	260305 
CH4_EQ,CPA_M69_M70,P51G,WORLD,THS_T,EU28	323.742 	283.033 	260.305 
CH4_EQ,CPA_M69_M70,P52,DOM,T,EU28	1628 	13740 	1766 
CH4_EQ,CPA_M69_M70,P52,DOM,THS_T,EU28	1.628 	13.74 	1.766 
CH4_EQ,CPA_M69_M70,P52,ROW,T,EU28	784 	6585 	726 
CH4_EQ,CPA_M69_M70,P52,ROW,THS_T,EU28	0.784 	6.585 	0.726 
CH4_EQ,CPA_M69_M70,P52,WORLD,T,EU28	2412 	20325 	2492 
CH4_EQ,CPA_M69_M70,P52,WORLD,THS_T,EU28	2.412 	20.325 	2.492 
CH4_EQ,CPA_M69_M70,P53,DOM,T,EU28	0 	0 	0 
CH4_EQ,CPA_M69_M70,P53,DOM,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_M69_M70,P53,ROW,T,EU28	0 	0 	0 
CH4_EQ,CPA_M69_M70,P53,ROW,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_M69_M70,P53,WORLD,T,EU28	0 	0 	0 
CH4_EQ,CPA_M69_M70,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_M69_M70,P5M,DOM,T,EU28	1628 	13740 	1766 
CH4_EQ,CPA_M69_M70,P5M,DOM,THS_T,EU28	1.628 	13.74 	1.766 
CH4_EQ,CPA_M69_M70,P5M,ROW,T,EU28	784 	6585 	726 
CH4_EQ,CPA_M69_M70,P5M,ROW,THS_T,EU28	0.784 	6.585 	0.726 
CH4_EQ,CPA_M69_M70,P5M,WORLD,T,EU28	2412 	20325 	2492 
CH4_EQ,CPA_M69_M70,P5M,WORLD,THS_T,EU28	2.412 	20.325 	2.492 
CH4_EQ,CPA_M69_M70,P6,DOM,T,EU28	233423 	280963 	255980 
CH4_EQ,CPA_M69_M70,P6,DOM,THS_T,EU28	233.423 	280.963 	255.98 
CH4_EQ,CPA_M69_M70,P6,ROW,T,EU28	103513 	132871 	105949 
CH4_EQ,CPA_M69_M70,P6,ROW,THS_T,EU28	103.513 	132.871 	105.949 
CH4_EQ,CPA_M69_M70,P6,WORLD,T,EU28	336935 	413833 	361929 
CH4_EQ,CPA_M69_M70,P6,WORLD,THS_T,EU28	336.935 	413.833 	361.929 
CH4_EQ,CPA_M69_M70,TFU,DOM,T,EU28	614717 	631992 	584461 
CH4_EQ,CPA_M69_M70,TFU,DOM,THS_T,EU28	614.717 	631.992 	584.461 
CH4_EQ,CPA_M69_M70,TFU,ROW,T,EU28	270685 	301468 	246797 
CH4_EQ,CPA_M69_M70,TFU,ROW,THS_T,EU28	270.685 	301.468 	246.797 
CH4_EQ,CPA_M69_M70,TFU,WORLD,T,EU28	885401 	933460 	831258 
CH4_EQ,CPA_M69_M70,TFU,WORLD,THS_T,EU28	885.401 	933.46 	831.258 
CH4_EQ,CPA_M71,P3,DOM,T,EU28	80242 	85031 	89450 
CH4_EQ,CPA_M71,P3,DOM,THS_T,EU28	80.242 	85.031 	89.45 
CH4_EQ,CPA_M71,P3,ROW,T,EU28	35215 	38842 	36104 
CH4_EQ,CPA_M71,P3,ROW,THS_T,EU28	35.215 	38.842 	36.104 
CH4_EQ,CPA_M71,P3,WORLD,T,EU28	115458 	123873 	125554 
CH4_EQ,CPA_M71,P3,WORLD,THS_T,EU28	115.458 	123.873 	125.554 
CH4_EQ,CPA_M71,P3_S13,DOM,T,EU28	16548 	19335 	21747 
CH4_EQ,CPA_M71,P3_S13,DOM,THS_T,EU28	16.548 	19.335 	21.747 
CH4_EQ,CPA_M71,P3_S13,ROW,T,EU28	6683 	8218 	8255 
CH4_EQ,CPA_M71,P3_S13,ROW,THS_T,EU28	6.683 	8.218 	8.255 
CH4_EQ,CPA_M71,P3_S13,WORLD,T,EU28	23231 	27553 	30002 
CH4_EQ,CPA_M71,P3_S13,WORLD,THS_T,EU28	23.231 	27.553 	30.002 
CH4_EQ,CPA_M71,P3_S14,DOM,T,EU28	63682 	65679 	67686 
CH4_EQ,CPA_M71,P3_S14,DOM,THS_T,EU28	63.682 	65.679 	67.686 
CH4_EQ,CPA_M71,P3_S14,ROW,T,EU28	28526 	30616 	27842 
CH4_EQ,CPA_M71,P3_S14,ROW,THS_T,EU28	28.526 	30.616 	27.842 
CH4_EQ,CPA_M71,P3_S14,WORLD,T,EU28	92208 	96295 	95528 
CH4_EQ,CPA_M71,P3_S14,WORLD,THS_T,EU28	92.208 	96.295 	95.528 
CH4_EQ,CPA_M71,P3_S15,DOM,T,EU28	12 	17 	17 
CH4_EQ,CPA_M71,P3_S15,DOM,THS_T,EU28	0.012 	0.017 	0.017 
CH4_EQ,CPA_M71,P3_S15,ROW,T,EU28	5 	8 	7 
CH4_EQ,CPA_M71,P3_S15,ROW,THS_T,EU28	0.005 	0.008 	0.007 
CH4_EQ,CPA_M71,P3_S15,WORLD,T,EU28	18 	25 	24 
CH4_EQ,CPA_M71,P3_S15,WORLD,THS_T,EU28	0.018 	0.025 	0.024 
CH4_EQ,CPA_M71,P5,DOM,T,EU28	749805 	707275 	688325 
CH4_EQ,CPA_M71,P5,DOM,THS_T,EU28	749.805 	707.275 	688.325 
CH4_EQ,CPA_M71,P5,ROW,T,EU28	323471 	322575 	277131 
CH4_EQ,CPA_M71,P5,ROW,THS_T,EU28	323.471 	322.575 	277.131 
CH4_EQ,CPA_M71,P5,WORLD,T,EU28	1073276 	1029850 	965455 
CH4_EQ,CPA_M71,P5,WORLD,THS_T,EU28	1073.276 	1029.85 	965.455 
CH4_EQ,CPA_M71,P51G,DOM,T,EU28	741914 	681404 	693155 
CH4_EQ,CPA_M71,P51G,DOM,THS_T,EU28	741.914 	681.404 	693.155 
CH4_EQ,CPA_M71,P51G,ROW,T,EU28	320415 	311188 	278937 
CH4_EQ,CPA_M71,P51G,ROW,THS_T,EU28	320.415 	311.188 	278.937 
CH4_EQ,CPA_M71,P51G,WORLD,T,EU28	1062329 	992592 	972091 
CH4_EQ,CPA_M71,P51G,WORLD,THS_T,EU28	1062.329 	992.592 	972.091 
CH4_EQ,CPA_M71,P52,DOM,T,EU28	7891 	25871 	-4830 
CH4_EQ,CPA_M71,P52,DOM,THS_T,EU28	7.891 	25.871 	-4.83 
CH4_EQ,CPA_M71,P52,ROW,T,EU28	3056 	11387 	-1806 
CH4_EQ,CPA_M71,P52,ROW,THS_T,EU28	3.056 	11.387 	-1.806 
CH4_EQ,CPA_M71,P52,WORLD,T,EU28	10947 	37258 	-6636 
CH4_EQ,CPA_M71,P52,WORLD,THS_T,EU28	10.947 	37.258 	-6.636 
CH4_EQ,CPA_M71,P53,DOM,T,EU28	0 	0 	0 
CH4_EQ,CPA_M71,P53,DOM,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_M71,P53,ROW,T,EU28	0 	0 	0 
CH4_EQ,CPA_M71,P53,ROW,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_M71,P53,WORLD,T,EU28	0 	0 	0 
CH4_EQ,CPA_M71,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4_EQ,CPA_M71,P5M,DOM,T,EU28	7891 	25871 	-4830 
CH4_EQ,CPA_M71,P5M,DOM,THS_T,EU28	7.891 	25.871 	-4.83 
CH4_EQ,CPA_M71,P5M,ROW,T,EU28	3056 	11387 	-1806 
CH4_EQ,CPA_M71,P5M,ROW,THS_T,EU28	3.056 	11.387 	-1.806 
CH4_EQ,CPA_M71,P5M,WORLD,T,EU28	10947 	37258 	-6636 
CH4_EQ,CPA_M71,P5M,WORLD,THS_T,EU28	10.947 	37.258 	-6.636 
CH4_EQ,CPA_M71,P6,DOM,T,EU28	221160 	291380 	233201 
CH4_EQ,CPA_M71,P6,DOM,THS_T,EU28	221.16 	291.38 	233.201 
CH4_EQ,CPA_M71,P6,ROW,T,EU28	92613 	127953 	88666 
CH4_EQ,CPA_M71,P6,ROW,THS_T,EU28	92.613 	127.953 	88.666 
CH4_EQ,CPA_M71,P6,WORLD,T,EU28	313772 	419333 	321867 
CH4_EQ,CPA_M71,P6,WORLD,THS_T,EU28	313.772 	419.333 	321.867 
CH4_EQ,CPA_M71,TFU,DOM,T,EU28	1051207 	1083686 	1010976 
CH4_EQ,CPA_M71,TFU,DOM,THS_T,EU28	1051.207 	1083.686 	1010.976 
CH4_EQ,CPA_M71,TFU,ROW,T,EU28	451299 	489370 	401900 
CH4_EQ,CPA_M71,TFU,ROW,THS_T,EU28	451.299 	489.37 	401.9 
CH4_EQ,CPA_M71,TFU,WORLD,T,EU28	1502506 	1573056 	1412876 
CH4_EQ,CPA_M71,TFU,WORLD,THS_T,EU28	1502.506 	1573.056 	1412.876 
CH4_EQ,CPA_M72,P3,DOM,T,EU28	383431 	380875 	380020 
CH4_EQ,CPA_M72,P3,DOM,THS_T,EU28	383.431 	380.875 	380.02 
CH4_EQ,CPA_M72,P3,ROW,T,EU28	195863 	210207 	185223 
CH4_EQ,CPA_M72,P3,ROW,THS_T,EU28	195.863 	210.207 	185.223 
CH4_EQ,CPA_M72,P3,WORLD,T,EU28	579293 	591082 	565243 
CH4_EQ,CPA_M72,P3,WORLD,THS_T,EU28	579.293 	591.082 	565.243 
CH4_EQ,CPA_M72,P3_S13,DOM,T,EU28	355370 	354937 	356681 
CH4_EQ,CPA_M72,P3_S13,DOM,THS_T,EU28	355.37 	354.937 	356.681 
CH4_EQ,CPA_M72,P3_S13,ROW,T,EU28	181599 	195800 	173972 
CH4_EQ,CPA_M72,P3_S13,ROW,THS_T,EU28	181.599 	195.8 	173.972 
CH4_EQ,CPA_M72,P3_S13,WORLD,T,EU28	536969 	550737 	530654 
CH4_EQ,CPA_M72,P3_S13,WORLD,THS_T,EU28	536.969 	550.737 	530.654 
CH4_EQ,CPA_M72,P3_S14,DOM,T,EU28	609 	506 	524 
CH4_EQ,CPA_M72,P3_S14,DOM,THS_T,EU28	0.609 	0.506 	0.524 
CH4_EQ,CPA_M72,P3_S14,ROW,T,EU28	302 	278 	259 
CH4_EQ,CPA_M72,P3_S14,ROW,THS_T,EU28	0.302 	0.278 	0.259 
CH4_EQ,CPA_M72,P3_S14,WORLD,T,EU28	911 	784 	783 
CH4_EQ,CPA_M72,P3_S14,WORLD,THS_T,EU28	0.911 	0.784 	0.783 
CH4_EQ,CPA_M72,P3_S15,DOM,T,EU28	27451 	25432 	22815 
CH4_EQ,CPA_M72,P3_S15,DOM,THS_T,EU28	27.451 	25.432 	22.815 
CH4_EQ,CPA_M72,P3_S15,ROW,T,EU28	13962 	14129 	10992 
CH4_EQ,CPA_M72,P3_S15,ROW,THS_T,EU28	13.962 	14.129 	10.992 
CH4_EQ,CPA_M72,P3_S15,WORLD,T,EU28	41413 	39561 	33807 
CH4_EQ,CPA_M72,P3_S15,WORLD,THS_T,EU28	41.413 	39.561 	33.807 
CH4_EQ,CPA_M72,P5,DOM,T,EU28	2556336 	2580209 	2596326 
CH4_EQ,CPA_M72,P5,DOM,THS_T,EU28	2556.336 	2580.209 	2596.326 
CH4_EQ,CPA_M72,P5,ROW,T,EU28	1372767 	1526699 	1381856 
CH4_EQ,CPA_M72,P5,ROW,THS_T,EU28	1372.767 	1526.699 	1381.856 
CH4_EQ,CPA_M72,P5,WORLD,T,EU28	3929102 	4106908 	3978182 
CH4_EQ,CPA_M72,P5,WORLD,THS_T,EU28	3929.102 	4106.908 	3978.182 
CH4_EQ,CPA_M72,P51G,DOM,T,EU28	2556314 	2576061 	2593809 
CH4_EQ,CPA_M72,P51G,DOM,THS_T,EU28	2556.314 	2576.061 	2593.809 
CH4_EQ,CPA_M72,P51G,ROW,T,EU28	1372767 	1524276 	1380417 
CH4_EQ,CPA_M72,P51G,ROW,THS_T,EU28	1372.767 	1524.276 	1380.417 
CH4_EQ,CPA_M72,P51G,WORLD,T,EU28	3929080 	4100337 	3974226 
CH4_EQ,CPA_M72,P51G,WORLD,THS_T,EU28	3929.08 	4100.337 	3974.226 
CH4_EQ,CPA_M72,P52,DOM,T,EU28	22 	4148 	2517 
CH4_EQ,CPA_M72,P52,DOM,THS_T,EU28	0.022 	4.148 	2.517 
CH4_EQ,CPA_M72,P52,ROW,T,EU28	0 	2422 	1440 
CH4_EQ,CPA_M72,P52,ROW,THS_T,EU28	0 	2.422 	1.44 
CH4_EQ,CPA_M72,P52,WORLD,T,EU28	22 	6571 	3956 
CH4_EQ,CPA_M72,P52,WORLD,THS_T,EU28	0.022 	6.571 	3.956 
CH4_EQ,CPA_M72,P53,DOM,T,EU28	0 	0 	0 
