airpol;cpa08;t_cols;origin;unit;geo\time;2011;2010;2009;2008
CH4;CPA_A02;FINUBP;WORLD;T;EU27;15042;11601;24603;32604
CH4;CPA_A02;FINUBP;WORLD;THS_T;EU27;15.042;11.601;24.603;32.604
CH4;CPA_A02;P3;DOM;T;EU27;5069;4874;13852;16122
CH4;CPA_A02;P3;DOM;THS_T;EU27;5.069;4.874;13.852;16.122
CH4;CPA_A02;P3;ROW;T;EU27;1817;1605;1656;2165
CH4;CPA_A02;P3;ROW;THS_T;EU27;1.817;1.605;1.656;2.165
CH4;CPA_A02;P3;WORLD;T;EU27;6886;6479;15508;18287
CH4;CPA_A02;P3;WORLD;THS_T;EU27;6.886;6.479;15.508;18.287
CH4;CPA_A02;P3_S13;DOM;T;EU27;213;205;247;319
CH4;CPA_A02;P3_S13;DOM;THS_T;EU27;0.213;0.205;0.247;0.319
CH4;CPA_A02;P3_S13;ROW;T;EU27;66;61;25;34
CH4;CPA_A02;P3_S13;ROW;THS_T;EU27;0.066;0.061;0.025;0.034
CH4;CPA_A02;P3_S13;WORLD;T;EU27;279;267;272;353
CH4;CPA_A02;P3_S13;WORLD;THS_T;EU27;0.279;0.267;0.272;0.353
CH4;CPA_A02;P3_S14;DOM;T;EU27;4846;4659;13575;15765
CH4;CPA_A02;P3_S14;DOM;THS_T;EU27;4.846;4.659;13.575;15.765
CH4;CPA_A02;P3_S14;ROW;T;EU27;1748;1541;1629;2127
CH4;CPA_A02;P3_S14;ROW;THS_T;EU27;1.748;1.541;1.629;2.127
CH4;CPA_A02;P3_S14;WORLD;T;EU27;6594;6200;15204;17892
CH4;CPA_A02;P3_S14;WORLD;THS_T;EU27;6.594;6.2;15.204;17.892
CH4;CPA_A02;P3_S15;DOM;T;EU27;10;9;29;38
CH4;CPA_A02;P3_S15;DOM;THS_T;EU27;0.01;0.009;0.029;0.038
CH4;CPA_A02;P3_S15;ROW;T;EU27;3;3;3;4
CH4;CPA_A02;P3_S15;ROW;THS_T;EU27;0.003;0.003;0.003;0.004
CH4;CPA_A02;P3_S15;WORLD;T;EU27;13;12;32;42
CH4;CPA_A02;P3_S15;WORLD;THS_T;EU27;0.013;0.012;0.032;0.042
CH4;CPA_A02;P5;DOM;T;EU27;5443;3480;6952;11513
CH4;CPA_A02;P5;DOM;THS_T;EU27;5.443;3.48;6.952;11.513
CH4;CPA_A02;P5;ROW;T;EU27;1868;1104;729;1261
CH4;CPA_A02;P5;ROW;THS_T;EU27;1.868;1.104;0.729;1.261
CH4;CPA_A02;P5;WORLD;T;EU27;7311;4584;7681;12774
CH4;CPA_A02;P5;WORLD;THS_T;EU27;7.311;4.584;7.681;12.774
CH4;CPA_A02;P51;DOM;T;EU27;1077;907;3056;3142
CH4;CPA_A02;P51;DOM;THS_T;EU27;1.077;0.907;3.056;3.142
CH4;CPA_A02;P51;ROW;T;EU27;380;294;363;389
CH4;CPA_A02;P51;ROW;THS_T;EU27;0.38;0.294;0.363;0.389
CH4;CPA_A02;P51;WORLD;T;EU27;1457;1201;3418;3531
CH4;CPA_A02;P51;WORLD;THS_T;EU27;1.457;1.201;3.418;3.531
CH4;CPA_A02;P52;DOM;T;EU27;4366;2573;3896;8371
CH4;CPA_A02;P52;DOM;THS_T;EU27;4.366;2.573;3.896;8.371
CH4;CPA_A02;P52;ROW;T;EU27;1488;810;366;872
CH4;CPA_A02;P52;ROW;THS_T;EU27;1.488;0.81;0.366;0.872
CH4;CPA_A02;P52;WORLD;T;EU27;5854;3383;4263;9243
CH4;CPA_A02;P52;WORLD;THS_T;EU27;5.854;3.383;4.263;9.243
CH4;CPA_A02;P52_P53;DOM;T;EU27;4366;2573;3896;8371
CH4;CPA_A02;P52_P53;DOM;THS_T;EU27;4.366;2.573;3.896;8.371
CH4;CPA_A02;P52_P53;ROW;T;EU27;1488;810;366;872
CH4;CPA_A02;P52_P53;ROW;THS_T;EU27;1.488;0.81;0.366;0.872
CH4;CPA_A02;P52_P53;WORLD;T;EU27;5854;3383;4263;9243
CH4;CPA_A02;P52_P53;WORLD;THS_T;EU27;5.854;3.383;4.263;9.243
CH4;CPA_A02;P53;DOM;T;EU27;0;0;0;0
CH4;CPA_A02;P53;DOM;THS_T;EU27;0;0;0;0
CH4;CPA_A02;P53;ROW;T;EU27;0;0;0;0
CH4;CPA_A02;P53;ROW;THS_T;EU27;0;0;0;0
CH4;CPA_A02;P53;WORLD;T;EU27;0;0;0;0
CH4;CPA_A02;P53;WORLD;THS_T;EU27;0;0;0;0
CH4;CPA_A02;P6;DOM;T;EU27;631;383;1297;1349
CH4;CPA_A02;P6;DOM;THS_T;EU27;0.631;0.383;1.297;1.349
CH4;CPA_A02;P6;ROW;T;EU27;214;155;118;194
CH4;CPA_A02;P6;ROW;THS_T;EU27;0.214;0.155;0.118;0.194
CH4;CPA_A02;P6;WORLD;T;EU27;845;538;1415;1543
CH4;CPA_A02;P6;WORLD;THS_T;EU27;0.845;0.538;1.415;1.543
CH4;CPA_A02;P6_S22;DOM;T;EU27;631;383;1297;1349
CH4;CPA_A02;P6_S22;DOM;THS_T;EU27;0.631;0.383;1.297;1.349
CH4;CPA_A02;P6_S22;ROW;T;EU27;214;155;118;194
CH4;CPA_A02;P6_S22;ROW;THS_T;EU27;0.214;0.155;0.118;0.194
CH4;CPA_A02;P6_S22;WORLD;T;EU27;845;538;1415;1543
CH4;CPA_A02;P6_S22;WORLD;THS_T;EU27;0.845;0.538;1.415;1.543
CH4;CPA_A03;FINUBP;DOM;T;EU27;5640;5292;6527;6018
CH4;CPA_A03;FINUBP;DOM;THS_T;EU27;5.64;5.292;6.527;6.018
CH4;CPA_A03;FINUBP;ROW;T;EU27;7791;6239;7078;7497
CH4;CPA_A03;FINUBP;ROW;THS_T;EU27;7.791;6.239;7.078;7.497
CH4;CPA_A03;FINUBP;WORLD;T;EU27;13430;11531;13605;13515
CH4;CPA_A03;FINUBP;WORLD;THS_T;EU27;13.43;11.531;13.605;13.515
CH4;CPA_A03;P3;DOM;T;EU27;4947;4804;6065;5421
CH4;CPA_A03;P3;DOM;THS_T;EU27;4.947;4.804;6.065;5.421
CH4;CPA_A03;P3;ROW;T;EU27;7121;5809;6678;6921
CH4;CPA_A03;P3;ROW;THS_T;EU27;7.121;5.809;6.678;6.921
CH4;CPA_A03;P3;WORLD;T;EU27;12068;10613;12743;12342
CH4;CPA_A03;P3;WORLD;THS_T;EU27;12.068;10.613;12.743;12.342
CH4;CPA_A03;P3_S13;DOM;T;EU27;4;4;4;4
CH4;CPA_A03;P3_S13;DOM;THS_T;EU27;0.004;0.004;0.004;0.004
CH4;CPA_A03;P3_S13;ROW;T;EU27;4;3;6;9
CH4;CPA_A03;P3_S13;ROW;THS_T;EU27;0.004;0.003;0.006;0.009
CH4;CPA_A03;P3_S13;WORLD;T;EU27;9;6;9;12
CH4;CPA_A03;P3_S13;WORLD;THS_T;EU27;0.009;0.006;0.009;0.012
CH4;CPA_A03;P3_S14;DOM;T;EU27;4943;4801;6062;5418
CH4;CPA_A03;P3_S14;DOM;THS_T;EU27;4.943;4.801;6.062;5.418
CH4;CPA_A03;P3_S14;ROW;T;EU27;7117;5806;6672;6912
CH4;CPA_A03;P3_S14;ROW;THS_T;EU27;7.117;5.806;6.672;6.912
CH4;CPA_A03;P3_S14;WORLD;T;EU27;12060;10607;12734;12330
CH4;CPA_A03;P3_S14;WORLD;THS_T;EU27;12.06;10.607;12.734;12.33
CH4;CPA_A03;P3_S15;DOM;T;EU27;0;0;0;0
CH4;CPA_A03;P3_S15;DOM;THS_T;EU27;0;0;0;0
CH4;CPA_A03;P3_S15;ROW;T;EU27;0;0;0;0
CH4;CPA_A03;P3_S15;ROW;THS_T;EU27;0;0;0;0
CH4;CPA_A03;P3_S15;WORLD;T;EU27;0;0;0;0
CH4;CPA_A03;P3_S15;WORLD;THS_T;EU27;0;0;0;0
CH4;CPA_A03;P5;DOM;T;EU27;50;16;-43;169
CH4;CPA_A03;P5;DOM;THS_T;EU27;0.05;0.016;-0.043;0.169
CH4;CPA_A03;P5;ROW;T;EU27;88;24;-6;163
CH4;CPA_A03;P5;ROW;THS_T;EU27;0.088;0.024;-0.006;0.163
CH4;CPA_A03;P5;WORLD;T;EU27;138;41;-49;331
CH4;CPA_A03;P5;WORLD;THS_T;EU27;0.138;0.041;-0.049;0.331
CH4;CPA_A03;P51;DOM;T;EU27;18;17;16;0
CH4;CPA_A03;P51;DOM;THS_T;EU27;0.018;0.017;0.016;0
CH4;CPA_A03;P51;ROW;T;EU27;51;34;34;25
CH4;CPA_A03;P51;ROW;THS_T;EU27;0.051;0.034;0.034;0.025
CH4;CPA_A03;P51;WORLD;T;EU27;70;52;50;25
CH4;CPA_A03;P51;WORLD;THS_T;EU27;0.07;0.052;0.05;0.025
CH4;CPA_A03;P52;DOM;T;EU27;32;-1;-59;169
CH4;CPA_A03;P52;DOM;THS_T;EU27;0.032;-0.001;-0.059;0.169
CH4;CPA_A03;P52;ROW;T;EU27;37;-10;-40;138
CH4;CPA_A03;P52;ROW;THS_T;EU27;0.037;-0.01;-0.04;0.138
CH4;CPA_A03;P52;WORLD;T;EU27;68;-11;-99;306
CH4;CPA_A03;P52;WORLD;THS_T;EU27;0.068;-0.011;-0.099;0.306
CH4;CPA_A03;P52_P53;DOM;T;EU27;32;-1;-59;169
CH4;CPA_A03;P52_P53;DOM;THS_T;EU27;0.032;-0.001;-0.059;0.169
CH4;CPA_A03;P52_P53;ROW;T;EU27;37;-10;-40;138
CH4;CPA_A03;P52_P53;ROW;THS_T;EU27;0.037;-0.01;-0.04;0.138
CH4;CPA_A03;P52_P53;WORLD;T;EU27;68;-11;-99;306
CH4;CPA_A03;P52_P53;WORLD;THS_T;EU27;0.068;-0.011;-0.099;0.306
CH4;CPA_A03;P53;DOM;T;EU27;0;0;0;0
CH4;CPA_A03;P53;DOM;THS_T;EU27;0;0;0;0
CH4;CPA_A03;P53;ROW;T;EU27;0;0;0;0
CH4;CPA_A03;P53;ROW;THS_T;EU27;0;0;0;0
CH4;CPA_A03;P53;WORLD;T;EU27;0;0;0;0
CH4;CPA_A03;P53;WORLD;THS_T;EU27;0;0;0;0
CH4;CPA_A03;P6;DOM;T;EU27;642;471;505;428
CH4;CPA_A03;P6;DOM;THS_T;EU27;0.642;0.471;0.505;0.428
CH4;CPA_A03;P6;ROW;T;EU27;582;406;406;413
CH4;CPA_A03;P6;ROW;THS_T;EU27;0.582;0.406;0.406;0.413
CH4;CPA_A03;P6;WORLD;T;EU27;1224;877;911;841
CH4;CPA_A03;P6;WORLD;THS_T;EU27;1.224;0.877;0.911;0.841
CH4;CPA_A03;P6_S22;DOM;T;EU27;642;471;505;428
CH4;CPA_A03;P6_S22;DOM;THS_T;EU27;0.642;0.471;0.505;0.428
CH4;CPA_A03;P6_S22;ROW;T;EU27;582;406;406;413
CH4;CPA_A03;P6_S22;ROW;THS_T;EU27;0.582;0.406;0.406;0.413
CH4;CPA_A03;P6_S22;WORLD;T;EU27;1224;877;911;841
CH4;CPA_A03;P6_S22;WORLD;THS_T;EU27;1.224;0.877;0.911;0.841
CH4;CPA_B;FINUBP;DOM;T;EU27;138883;105856;196025;462191
CH4;CPA_B;FINUBP;DOM;THS_T;EU27;138.883;105.856;196.025;462.191
CH4;CPA_B;FINUBP;ROW;T;EU27;229051;189799;90692;153161
CH4;CPA_B;FINUBP;ROW;THS_T;EU27;229.051;189.799;90.692;153.161
CH4;CPA_B;FINUBP;WORLD;T;EU27;367934;295655;286718;615353
CH4;CPA_B;FINUBP;WORLD;THS_T;EU27;367.934;295.655;286.718;615.353
CH4;CPA_B;P3;DOM;T;EU27;21546;28835;44258;72027
CH4;CPA_B;P3;DOM;THS_T;EU27;21.546;28.835;44.258;72.027
CH4;CPA_B;P3;ROW;T;EU27;39178;38190;53052;65100
CH4;CPA_B;P3;ROW;THS_T;EU27;39.178;38.19;53.052;65.1
CH4;CPA_B;P3;WORLD;T;EU27;60724;67025;97310;137127
CH4;CPA_B;P3;WORLD;THS_T;EU27;60.724;67.025;97.31;137.127
CH4;CPA_B;P3_S13;DOM;T;EU27;1392;1406;3776;918
CH4;CPA_B;P3_S13;DOM;THS_T;EU27;1.392;1.406;3.776;0.918
CH4;CPA_B;P3_S13;ROW;T;EU27;1342;1278;2069;2063
CH4;CPA_B;P3_S13;ROW;THS_T;EU27;1.342;1.278;2.069;2.063
CH4;CPA_B;P3_S13;WORLD;T;EU27;2734;2683;5845;2981
CH4;CPA_B;P3_S13;WORLD;THS_T;EU27;2.734;2.683;5.845;2.981
CH4;CPA_B;P3_S14;DOM;T;EU27;20153;27403;40456;71072
CH4;CPA_B;P3_S14;DOM;THS_T;EU27;20.153;27.403;40.456;71.072
CH4;CPA_B;P3_S14;ROW;T;EU27;37835;36911;50960;63015
CH4;CPA_B;P3_S14;ROW;THS_T;EU27;37.835;36.911;50.96;63.015
CH4;CPA_B;P3_S14;WORLD;T;EU27;57988;64314;91416;134087
CH4;CPA_B;P3_S14;WORLD;THS_T;EU27;57.988;64.314;91.416;134.087
CH4;CPA_B;P3_S15;DOM;T;EU27;1;26;27;36
CH4;CPA_B;P3_S15;DOM;THS_T;EU27;0.001;0.026;0.027;0.036
CH4;CPA_B;P3_S15;ROW;T;EU27;2;2;23;23
CH4;CPA_B;P3_S15;ROW;THS_T;EU27;0.002;0.002;0.023;0.023
CH4;CPA_B;P3_S15;WORLD;T;EU27;3;28;49;59
CH4;CPA_B;P3_S15;WORLD;THS_T;EU27;0.003;0.028;0.049;0.059
CH4;CPA_B;P5;DOM;T;EU27;-10272;-14091;716;110077
CH4;CPA_B;P5;DOM;THS_T;EU27;-10.272;-14.091;0.716;110.077
CH4;CPA_B;P5;ROW;T;EU27;102715;89706;7578;19280
CH4;CPA_B;P5;ROW;THS_T;EU27;102.715;89.706;7.578;19.28
CH4;CPA_B;P5;WORLD;T;EU27;92442;75614;8294;129357
CH4;CPA_B;P5;WORLD;THS_T;EU27;92.442;75.614;8.294;129.357
CH4;CPA_B;P51;DOM;T;EU27;17047;20908;35730;62843
CH4;CPA_B;P51;DOM;THS_T;EU27;17.047;20.908;35.73;62.843
CH4;CPA_B;P51;ROW;T;EU27;6395;9410;10244;15390
CH4;CPA_B;P51;ROW;THS_T;EU27;6.395;9.41;10.244;15.39
CH4;CPA_B;P51;WORLD;T;EU27;23441;30318;45974;78233
CH4;CPA_B;P51;WORLD;THS_T;EU27;23.441;30.318;45.974;78.233
CH4;CPA_B;P52;DOM;T;EU27;-27319;-34999;-35014;47234
CH4;CPA_B;P52;DOM;THS_T;EU27;-27.319;-34.999;-35.014;47.234
CH4;CPA_B;P52;ROW;T;EU27;96320;80296;-2666;3889
