airpol;cpa02;t_cols;origin;unit;geo\time;2007;2006;2005;2004;2003;2002;2001;2000 
CH4;CPA_A02;P3;DOM;T;EU27;26105;28710;31417;27627;29492;28558;29219;28321
CH4;CPA_A02;P3;DOM;THS_T;EU27;26.105;28.71;31.417;27.627;29.492;28.558;29.219;28.321
CH4;CPA_A02;P3;WORLD;T;EU27;28449;31304;33883;30514;32754;31523;32491;32408
CH4;CPA_A02;P3;WORLD;THS_T;EU27;28.449;31.304;33.883;30.514;32.754;31.523;32.491;32.408
CH4;CPA_A02;P3_P5;WORLD;T;EU27;63709;68647;62073;65432;66641;69145;70611;64695
CH4;CPA_A02;P3_P5;WORLD;THS_T;EU27;63.709;68.647;62.073;65.432;66.641;69.145;70.611;64.695
CH4;CPA_A02;P3_S13;DOM;T;EU27;474;657;831;798;801;968;611;668
CH4;CPA_A02;P3_S13;DOM;THS_T;EU27;0.474;0.657;0.831;0.798;0.801;0.968;0.611;0.668
CH4;CPA_A02;P3_S13;WORLD;T;EU27;495;688;867;863;864;1034;648;702
CH4;CPA_A02;P3_S13;WORLD;THS_T;EU27;0.495;0.688;0.867;0.863;0.864;1.034;0.648;0.702
CH4;CPA_A02;P3_S14;DOM;T;EU27;25550;27949;30475;26699;28458;27435;28430;27499
CH4;CPA_A02;P3_S14;DOM;THS_T;EU27;25.55;27.949;30.475;26.699;28.458;27.435;28.43;27.499
CH4;CPA_A02;P3_S14;WORLD;T;EU27;27869;30509;32901;29517;31647;30328;31659;31547
CH4;CPA_A02;P3_S14;WORLD;THS_T;EU27;27.869;30.509;32.901;29.517;31.647;30.328;31.659;31.547
CH4;CPA_A02;P3_S15;DOM;T;EU27;82;104;111;130;233;156;178;154
CH4;CPA_A02;P3_S15;DOM;THS_T;EU27;0.082;0.104;0.111;0.13;0.233;0.156;0.178;0.154
CH4;CPA_A02;P3_S15;WORLD;T;EU27;85;108;115;134;242;161;184;159
CH4;CPA_A02;P3_S15;WORLD;THS_T;EU27;0.085;0.108;0.115;0.134;0.242;0.161;0.184;0.159
CH4;CPA_A02;P5;DOM;T;EU27;33252;35421;25589;33081;31960;35258;35927;30321
CH4;CPA_A02;P5;DOM;THS_T;EU27;33.252;35.421;25.589;33.081;31.96;35.258;35.927;30.321
CH4;CPA_A02;P5;WORLD;T;EU27;35260;37343;28190;34919;33888;37622;38121;32287
CH4;CPA_A02;P5;WORLD;THS_T;EU27;35.26;37.343;28.19;34.919;33.888;37.622;38.121;32.287
CH4;CPA_A02;P51;DOM;T;EU27;5997;7038;6915;6831;6619;6673;6824;6838
CH4;CPA_A02;P51;DOM;THS_T;EU27;5.997;7.038;6.915;6.831;6.619;6.673;6.824;6.838
CH4;CPA_A02;P51;WORLD;T;EU27;6369;7462;7332;7262;7069;7117;7287;7352
CH4;CPA_A02;P51;WORLD;THS_T;EU27;6.369;7.462;7.332;7.262;7.069;7.117;7.287;7.352
CH4;CPA_A02;P52;DOM;T;EU27;27255;28382;18674;26250;25341;28590;29105;23487
CH4;CPA_A02;P52;DOM;THS_T;EU27;27.255;28.382;18.674;26.25;25.341;28.59;29.105;23.487
CH4;CPA_A02;P52;WORLD;T;EU27;28892;29881;20858;27656;26818;30509;30836;24939
CH4;CPA_A02;P52;WORLD;THS_T;EU27;28.892;29.881;20.858;27.656;26.818;30.509;30.836;24.939
CH4;CPA_A02;P52_P53;DOM;T;EU27;27255;28382;18674;26250;25341;28586;29102;23483
CH4;CPA_A02;P52_P53;DOM;THS_T;EU27;27.255;28.382;18.674;26.25;25.341;28.586;29.102;23.483
CH4;CPA_A02;P52_P53;WORLD;T;EU27;28892;29881;20858;27656;26818;30505;30833;24935
CH4;CPA_A02;P52_P53;WORLD;THS_T;EU27;28.892;29.881;20.858;27.656;26.818;30.505;30.833;24.935
CH4;CPA_A02;P53;DOM;T;EU27;:;:;:;:;:;-4;-3;-4
CH4;CPA_A02;P53;DOM;THS_T;EU27;:;:;:;:;:;-0.004;-0.003;-0.004
CH4;CPA_A02;P53;WORLD;T;EU27;:;:;:;:;:;-4;-3;-4
CH4;CPA_A02;P53;WORLD;THS_T;EU27;:;:;:;:;:;-0.004;-0.003;-0.004
CH4;CPA_A02;P6;DOM;T;EU27;5043;4436;4435;3860;4680;4961;5947;6933
CH4;CPA_A02;P6;DOM;THS_T;EU27;5.043;4.436;4.435;3.86;4.68;4.961;5.947;6.933
CH4;CPA_A02;P6;WORLD;T;EU27;5461;4842;4769;4259;5202;5480;6553;7587
CH4;CPA_A02;P6;WORLD;THS_T;EU27;5.461;4.842;4.769;4.259;5.202;5.48;6.553;7.587
CH4;CPA_A02;P6_X_P7;WORLD;T;EU27;-7999;-10018;-12324;-13952;-16029;-16524;-17023;-19112
CH4;CPA_A02;P6_X_P7;WORLD;THS_T;EU27;-7.999;-10.018;-12.324;-13.952;-16.029;-16.524;-17.023;-19.112
CH4;CPA_A02;P7;ROW;T;EU27;-13460;-14860;-17093;-18211;-21231;-22004;-23576;-26700
CH4;CPA_A02;P7;ROW;THS_T;EU27;-13.46;-14.86;-17.093;-18.211;-21.231;-22.004;-23.576;-26.7
CH4;CPA_B05;FINUBP;DOM;T;EU27;6273;6390;7318;7177;7602;7720;7755;8863
CH4;CPA_B05;FINUBP;DOM;THS_T;EU27;6.273;6.39;7.318;7.177;7.602;7.72;7.755;8.863
CH4;CPA_B05;FINUBP;WORLD;T;EU27;11418;11546;12775;11845;12476;12427;12709;14482
CH4;CPA_B05;FINUBP;WORLD;THS_T;EU27;11.418;11.546;12.775;11.845;12.476;12.427;12.709;14.482
CH4;CPA_B05;P3;DOM;T;EU27;5246;5527;6489;6352;6729;6828;6857;7832
CH4;CPA_B05;P3;DOM;THS_T;EU27;5.246;5.527;6.489;6.352;6.729;6.828;6.857;7.832
CH4;CPA_B05;P3;WORLD;T;EU27;9715;10109;11294;10508;11072;11050;11299;12808
CH4;CPA_B05;P3;WORLD;THS_T;EU27;9.715;10.109;11.294;10.508;11.072;11.05;11.299;12.808
