indic_nv	unit	geo	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
FEC_AGR	KTOE	FR62	:	:	:	:	:	:	:	:	:	234.18	:	240.02	:	:
FEC_AGR	KTOE	FR63	:	:	:	:	:	:	:	:	:	67.31	:	66.17	:	:
FEC_AGR	KTOE	FR71	:	:	:	:	:	:	:	:	:	180.04	:	172.61	:	:
FEC_AGR	KTOE	FR72	:	:	:	:	:	:	:	:	:	123.13	:	121.06	:	:
FEC_AGR	KTOE	FR81	:	:	:	:	:	:	:	:	:	140.59	:	143.67	:	:
FEC_AGR	KTOE	FR82	:	:	:	:	:	:	:	:	:	177.65	:	169.57	:	:
FEC_AGR	KTOE	FR83	:	:	:	:	:	:	:	:	:	10.69	:	10.25	:	:
FEC_AGR	KTOE	HR	226.74	229.6	244.3	244.1	250	252.82	240.14	247.02	244.31	237.75	254.93	251.85	271.41	288.67
FEC_AGR	KTOE	HR03	39.07 e	39.57 e	42.1 e	42 e	43.1 e	43.54 e	41.35 e	42.54 e	42.07 e	40.94	43.9	43.37	46.74	49.71
FEC_AGR	KTOE	HR04	187.67 e	190.03 e	202.2 e	202.1 e	206.9 e	209.28 e	198.79 e	204.48 e	202.24 e	196.81	211.03	208.48	224.67	238.96
FEC_AGR	KTOE	HU10	:	:	:	:	:	:	:	:	:	43.78	41.35	46.18	47.96	38.86
FEC_AGR	KTOE	HU21	:	:	:	:	:	:	:	:	:	95.99	89.76	102.84	106.22	87.87
FEC_AGR	KTOE	HU22	:	:	:	:	:	:	:	:	:	61.69	57.61	68.62	70.94	61.1
FEC_AGR	KTOE	HU23	:	:	:	:	:	:	:	:	:	93.24	85.51	100.42	105.05	88.26
FEC_AGR	KTOE	HU31	:	:	:	:	:	:	:	:	:	73.66	70.39	79.84	81.44	68.22
FEC_AGR	KTOE	HU32	:	:	:	:	:	:	:	:	:	148.41	139.32	159.9	164.26	137.88
FEC_AGR	KTOE	HU33	:	:	:	:	:	:	:	:	:	168.26	159.37	178.96	165.27	150.93
FEC_AGR	KTOE	IE	:	73.62	275.75	284.39	299.47	325.58	353.88	348.16	368.6	366.13	370.97	324.08	323.04	316.93
FEC_AGR	KTOE	IE01	:	73.62	76.09	79.55	84.58	96.33	91.93	97.31	102.2	:	:	:	:	:
FEC_AGR	KTOE	IE02	:	199.66	204.84	214.89	229.25	261.95	250.85	266.4	280.69	:	:	:	:	:
FEC_AGR	KTOE	LT	105.3	110.7	111.2	111	104.5	117	120.3	114.3	105.3	104.9	103	101.9	100.4	98.4
FEC_AGR	KTOE	LT00	105.3	110.7	111.2	111	104.5	117	120.3	114.3	105.3	104.9	103	101.9	100.4	98.4
FEC_AGR	KTOE	LU	3485	3498	3516	3878	3742	3792	3849	3950	3904	3808.39	3596.72	3543.43	3168.82	2812.94
FEC_AGR	KTOE	LU00	25	25	25	29	30	26	25	23	22	21.77	21.31	19.46	20.14	17.55
FEC_AGR	KTOE	LV	155	148	155	155	140	131	156	153	153	:	:	:	:	:
FEC_AGR	KTOE	LV00	155	148	155	155	140	131	156	153	153	:	:	:	:	:
FEC_AGR	KTOE	MK00	22	26	26	27	18	23	23	31	36	:	:	:	:	:
FEC_AGR	KTOE	MT	2.37	2.33	2.44	4.66	4.32	3.71	3.67	3.14	2.98	0.58	0.57	0.52	0.57	0.52
FEC_AGR	KTOE	MT00	2.37	2.33	2.44	4.66	4.32	3.71	3.67	3.14	2.98	0.58	0.57	0.52	0.57	0.52
FEC_AGR	KTOE	PT20	30.49 p	28.56	28.3	32.3	28.86	26.25	20.69	:	:	:	:	:	:	:
FEC_AGR	KTOE	PT30	13.87 p	8.02	8.97	9.09	7.83	9.17	9.74	:	:	:	:	:	:	:
FEC_HH	KTOE	AT	:	:	:	:	:	:	:	:	:	0	0	0	0	0
FEC_HH	KTOE	AT11	:	:	251.43	274	248.05	251.26	250.05	278.44	274.11	246.12	254.74	261.35	281.06	269.78
FEC_HH	KTOE	AT12	:	:	1374.88	1530.2	1369.36	1351.54	1335.03	1377.21	1442.85	1346.6	1400.84	1384.76	1467.98	1378.71
FEC_HH	KTOE	AT13	:	:	1020.98	1099.47	1029.8	986.64	984.02	1044.95	1081.78	1018.78	1033.91	976.68	977.19	931.02
FEC_HH	KTOE	AT21	:	:	450.82	479.06	454.8	465.5	437.25	466.95	487.98	458	460.03	460.81	479.61	468.61
FEC_HH	KTOE	AT22	:	:	962.29	1033.86	959.18	965.79	941.17	995.7	1046.79	935.17	953.47	933.96	968.22	941.28
FEC_HH	KTOE	AT31	:	:	1058.57	1191.39	1083.77	1116.39	1062.59	1103.86	1151.15	1118.1	1144.42	1119.6	1153.69	1078.45
FEC_HH	KTOE	AT32	:	:	381.66	426.39	393.55	391.14	376.14	396.14	420.01	398.98	402.9	395.52	404.22	383.5
FEC_HH	KTOE	AT33	:	:	485.07	548.3	510.24	502.39	488.36	513.66	550.71	506.29	500.93	497.22	503.2	478.31
FEC_HH	KTOE	AT34	:	:	240.77	278.84	253.56	261.83	249.75	251.58	269.58	250.23	253.49	260.44	274.52	270.05
FEC_HH	KTOE	BG	2256	2377	2391	2261	2148	2125	2073	2183	2127	:	:	:	:	:
FEC_HH	KTOE	BG31	252	269	273	267	256	256	252	268	259	:	:	:	:	:
FEC_HH	KTOE	BG32	260	276	279	272	260	258	253	268	259	:	:	:	:	:
FEC_HH	KTOE	BG33	297	312	314	296	281	277	269	282	276	:	:	:	:	:
FEC_HH	KTOE	BG34	331	348	350	333	317	313	306	321	313	:	:	:	:	:
FEC_HH	KTOE	BG41	663	695	695	637	600	591	574	602	590	:	:	:	:	:
FEC_HH	KTOE	BG42	453	477	480	456	434	430	419	442	430	:	:	:	:	:
FEC_HH	KTOE	CY	:	:	:	:	:	:	:	:	:	199	207	191	172	174
FEC_HH	KTOE	CY00	:	:	:	:	:	:	:	:	:	199	207	191	172	174
FEC_HH	KTOE	CZ01	769.4 e	741.2 e	722.9 e	796.6 e	726.4 e	718.3 e	718.5 e	758.4 e	744.6 e	711.69 d	718.92 d	685.29 d	754.93 d	695.5 d
FEC_HH	KTOE	CZ02	797.2 e	763.7 e	741.1 e	809.2 e	736.1 e	721.9 e	719.1 e	750.6 e	733.4 e	693.5 d	698.34 d	663.91 d	712.69 d	651.26 d
FEC_HH	KTOE	CZ03	746.2 e	721 e	707.1 e	782.2 e	719.4 e	715.7 e	723.2 e	763 e	752.4 e	717.84 d	726.67 d	693.59 d	752.39 d	690.3 d
FEC_HH	KTOE	CZ04	696.4 e	675.2 e	663.3 e	735.3 e	678.9 e	679.2 e	685.9 e	727.1 e	719.5 e	686.98 d	695.4 d	663.46 d	723.16 d	663.34 d
FEC_HH	KTOE	CZ05	930.6 e	900.7 e	883.9 e	977.3 e	899.7 e	898 e	909.2 e	960.2 e	947.9 e	904.14 d	917.13 d	876.55 d	951.37 d	872.8 d
FEC_HH	KTOE	CZ06	1036.6 e	1001.8 e	981.8 e	1084.6 e	997.1 e	996 e	1007.9 e	1065.3 e	1052.8 e	1001.42 d	1014.35 d	970.42 d	1058.68 d	972.04 d
FEC_HH	KTOE	CZ07	756.1 e	732.8 e	720 e	797.9 e	736.1 e	738.8 e	751 e	795.5 e	787.6 e	749.91 d	760.96 d	728.01 d	791.9 d	726.85 d
FEC_HH	KTOE	CZ08	756.9 e	734.6 e	723.3 e	803.9 e	743.4 e	746.9 e	760.9 e	807.6 e	801 e	769.51 d	781.24 d	747.78 d	816.87 d	750.91 d
FEC_HH	KTOE	EE00	:	:	:	:	:	:	:	:	:	922	926	918	939	928
FEC_HH	KTOE	ES	:	13019.694	13208.999	13380.999	12397.999	11764.999	11752.001	11581	10633.999	:	:	:	:	:
FEC_HH	KTOE	ES11	:	637.592	1089.144	1095.095	1033.025	956.355	816.156	810.395	749.694	:	:	:	:	:
FEC_HH	KTOE	ES12	:	217.768	398.111	400.683	377.08	350.732	364.714	362.416	368.205	:	:	:	:	:
FEC_HH	KTOE	ES13	:	126.548	166.326	167.959	156.81	147.913	174.939	169.388	153.21	:	:	:	:	:
FEC_HH	KTOE	ES21	:	632.024	462.232	469.912	431.682	416.745	519.964	556.652	455.908	:	:	:	:	:
FEC_HH	KTOE	ES22	:	262.304	205.262	207.175	193.651	180.142	231.212	227.356	212.472	:	:	:	:	:
FEC_HH	KTOE	ES23	:	127.265	92.467	93.402	87.141	82.298	118.932	111.582	105.307	:	:	:	:	:
FEC_HH	KTOE	ES24	:	456.407	388.746	393.842	364.834	347.939	390.803	373.516	355.807	:	:	:	:	:
FEC_HH	KTOE	ES30	:	2105.787	1514.453	1540.925	1412.65	1368.796	1988.349	1925.056	1814.475	:	:	:	:	:
FEC_HH	KTOE	ES41	:	1003.011	910.461	916.599	862.03	801.706	959.247	928.086	892.673	:	:	:	:	:
FEC_HH	KTOE	ES42	:	637.558	645.971	654.429	606.25	578.296	512.726	476.945	428.265	:	:	:	:	:
FEC_HH	KTOE	ES43	:	254.685	327.486	330.156	309.461	290.07	231.025	226.464	192.838	:	:	:	:	:
FEC_HH	KTOE	ES51	:	2437.711	1978.782	2007.537	1853.386	1770.48	2280.618	2347.734	2167.166	:	:	:	:	:
FEC_HH	KTOE	ES52	:	1118.376	1333.138	1355.467	1244.795	1201.832	956.008	902.566	813.552	:	:	:	:	:
FEC_HH	KTOE	ES53	:	292.089	384.623	390.161	360.317	342.175	218.686	220.809	197.109	:	:	:	:	:
FEC_HH	KTOE	ES61	:	2108.497	2426.888	2457.971	2278.56	2135.871	1502.311	1471.7	1287.634	:	:	:	:	:
FEC_HH	KTOE	ES62	:	284.297	401.923	407.864	376.323	360.634	245.422	241.794	216.424	:	:	:	:	:
FEC_HH	KTOE	ES63	:	6.902	9.539	9.722	8.877	8.67	5.336	5.843	5.003	:	:	:	:	:
FEC_HH	KTOE	ES64	:	8.021	11.74	11.965	10.924	10.683	5.967	5.774	4.843	:	:	:	:	:
FEC_HH	KTOE	ES70	:	302.852	461.707	470.135	430.203	413.662	229.586	216.924	213.414	:	:	:	:	:
FEC_HH	KTOE	FR	:	:	:	:	:	:	:	:	:	46940.66	42495.01	43272.58	40526.58	45250.99
