unit,na_item,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
EUR_KGOE,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.0 	2.0 	2.1 	1.9 	2.1 	2.1 	2.1 	2.2 	2.3 	2.5 	2.5 	2.4 	2.5 	2.8 	2.9 p
EUR_KGOE,B1GQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.7 	6.2 	6.8 	6.3 	6.2 	6.1 	6.7 	6.5 	6.8 	7.3 	7.1 	7.2 	7.0 	8.2 	8.8 
EUR_KGOE,B1GQ,NL	: 	: 	: 	: 	: 	5.9 	5.8 	6.3 	6.5 	6.9 	7.1 	7.1 	7.0 	6.8 	6.8 	7.0 	7.3 	7.6 	7.8 	7.7 	7.3 	8.0 	7.9 	7.9 	8.4 
EUR_KGOE,B1GQ,NO	9.0 	9.0 	9.2 	8.9 	9.5 	9.8 	10.5 	10.5 	10.3 	10.0 	10.5 	10.4 	11.3 	10.6 	11.3 	11.4 	11.5 	11.6 	10.0 	10.2 	9.4 	11.5 	11.2 	10.1 	11.8 
EUR_KGOE,B1GQ,PL	: 	: 	: 	: 	: 	1.9 	2.0 	2.1 	2.4 	2.5 	2.8 	2.8 	2.9 	2.9 	3.0 	3.1 	3.1 	3.4 	3.5 	3.7 	3.6 	3.8 	4.0 	4.0 	4.3 
EUR_KGOE,B1GQ,PT	: 	: 	: 	: 	: 	6.6 	6.9 	6.8 	6.6 	6.4 	6.6 	6.7 	6.5 	6.6 	6.5 	6.4 	6.8 	6.9 	7.2 	7.0 	7.4 	7.5 	7.6 	7.5 	7.7 
EUR_KGOE,B1GQ,RO	: 	: 	: 	: 	: 	1.8 	1.8 	1.8 	2.0 	2.2 	2.3 	2.4 	2.4 	2.4 	2.7 	2.8 	2.9 	3.1 	3.4 	3.6 	3.5 	3.5 	3.6 	4.1 	4.3 
EUR_KGOE,B1GQ,RS	: 	: 	: 	: 	: 	1.3 	1.1 	1.1 	1.2 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.7 	1.6 	1.8 	1.8 	1.9 	1.9 	1.9 	2.1 	2.1 	2.3 
EUR_KGOE,B1GQ,SE	: 	: 	: 	4.8 	4.8 	4.9 	4.8 	5.1 	5.2 	5.5 	6.1 	5.9 	6.0 	6.4 	6.4 	6.7 	7.2 	7.5 	7.4 	7.7 	7.3 	7.6 	7.6 	7.8 	8.1 
EUR_KGOE,B1GQ,SI	: 	: 	: 	: 	: 	3.7 	3.7 	3.8 	3.9 	4.2 	4.3 	4.2 	4.3 	4.4 	4.5 	4.5 	4.8 	5.1 	5.0 	5.1 	4.9 	5.0 	5.0 	5.1 	5.4 
EUR_KGOE,B1GQ,SK	: 	: 	: 	: 	: 	2.0 	2.1 	2.2 	2.3 	2.3 	2.3 	2.3 	2.4 	2.5 	2.7 	2.8 	3.1 	3.6 	3.7 	3.8 	3.8 	4.0 	4.2 	4.2 	4.5 
EUR_KGOE,B1GQ,UK	5.9 	5.6 	5.6 	5.7 	5.9 	6.0 	5.9 	6.3 	6.4 	6.6 	6.8 	6.9 	7.3 	7.4 	7.5 	7.7 	8.0 	8.5 	8.6 	8.7 	8.6 	9.4 	9.2 	9.5 	10.5 
EUR_KGOE,B1GQ,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.7 	1.7 	1.8 	2.0 	2.1 	2.3 
PPS_KGOE,B1GQ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.0 	8.0 	9.1 	9.6 	9.6 	9.6 	9.5 	10.8 	9.4 	10.3 p
PPS_KGOE,B1GQ,AT	: 	: 	: 	: 	: 	5.8 	5.7 	6.0 	6.3 	6.6 	7.1 	6.7 	7.0 	6.8 	7.0 	7.0 b	7.4 	7.8 	7.8 	7.9 	7.8 	8.4 	8.8 	8.8 	9.3 
PPS_KGOE,B1GQ,BE	: 	: 	: 	: 	: 	3.6 	3.5 	3.7 	3.7 	3.9 	4.2 	4.4 	4.8 	4.6 	4.7 	4.9 b	5.2 	5.5 	5.3 	5.4 	5.4 	6.0 	6.5 	6.3 	6.8 
PPS_KGOE,B1GQ,BG	: 	: 	: 	: 	: 	1.9 	1.6 	1.8 	2.1 	2.2 	2.4 	2.4 	2.8 	2.9 	3.1 	3.3 b	3.5 	4.0 	4.4 	4.8 	4.9 	4.6 	4.9 	5.3 	5.2 
PPS_KGOE,B1GQ,CY	: 	: 	: 	: 	: 	4.6 	4.4 	4.8 	4.8 	5.1 	5.2 	5.5 	5.7 	5.4 	6.3 	6.7 b	7.0 	7.3 	7.5 	7.5 	7.9 	8.0 	8.3 	8.9 	8.7 
PPS_KGOE,B1GQ,CZ	: 	: 	: 	: 	: 	2.9 	3.0 	3.0 	3.2 	3.5 	3.5 	3.7 	3.8 	3.8 	3.9 	4.2 b	4.4 	4.8 	4.9 	5.0 	4.8 	5.3 	5.4 	5.6 	6.0 
PPS_KGOE,B1GQ,DE	: 	: 	: 	: 	: 	4.6 	4.6 	4.8 	5.0 	5.4 	5.6 	5.6 	5.8 	6.0 	6.2 	6.5 b	6.6 	7.4 	7.3 	7.2 	7.4 	8.2 	8.3 	8.3 	9.0 
PPS_KGOE,B1GQ,DK	: 	: 	: 	: 	: 	5.1 	4.7 	5.4 	5.7 	6.2 	6.9 	6.9 	7.3 	6.8 	7.5 	7.9 b	7.8 	8.4 	8.9 	8.7 	8.9 	9.9 	10.5 	10.5 	11.6 
PPS_KGOE,B1GQ,EA19	: 	: 	: 	: 	: 	4.7 	4.8 	5.0 	5.2 	5.5 	5.8 	5.9 	6.0 	6.0 	6.2 	6.4 b	6.8 	7.3 	7.3 	7.3 	7.4 	7.9 	8.1 	8.2 	8.7 
PPS_KGOE,B1GQ,EE	: 	: 	: 	: 	: 	1.4 	1.4 	1.6 	1.9 	2.1 	2.4 	2.4 	2.8 	2.8 	3.0 	3.3 b	3.9 	3.9 	4.0 	3.8 	3.5 	3.9 	4.2 	3.9 	4.1 
PPS_KGOE,B1GQ,EL	: 	: 	: 	: 	: 	5.7 	5.9 	6.1 	6.0 	6.3 	6.4 	6.7 	7.2 	7.2 	7.6 	7.4 b	8.0 	8.3 	8.5 	8.4 	8.5 	8.0 p	7.8 p	8.9 p	8.9 p
PPS_KGOE,B1GQ,ES	: 	: 	: 	: 	: 	5.3 	5.8 	5.8 	5.9 	5.9 	6.2 	6.4 	6.7 	6.7 	6.8 	7.1 b	7.7 	8.2 	8.5 	8.8 	8.8 	8.9 	8.9 	9.4 	9.9 p
PPS_KGOE,B1GQ,EU28	: 	: 	: 	: 	: 	4.4 	4.5 	4.8 	4.9 	5.2 	5.6 	5.7 	5.9 	5.9 	6.1 	6.3 b	6.7 	7.2 	7.2 	7.2 	7.3 	7.8 	8.0 	8.1 	8.7 
PPS_KGOE,B1GQ,FI	: 	: 	: 	: 	: 	2.8 	2.7 	2.9 	3.1 	3.3 	3.7 	3.7 	3.6 	3.4 	3.7 	4.1 b	3.9 	4.3 	4.6 	4.4 	4.2 	4.6 	4.8 	4.8 	4.8 
PPS_KGOE,B1GQ,FR	: 	: 	: 	: 	: 	4.3 	4.2 	4.6 	4.7 	5.0 	5.3 	5.4 	5.6 	5.4 	5.6 	5.8 b	6.1 	6.6 	6.5 	6.5 	6.7 	7.1 	7.2 	7.4 	7.8 p
PPS_KGOE,B1GQ,HR	: 	: 	: 	: 	: 	4.0 	4.3 	4.5 	4.5 	4.6 	5.0 	5.1 	5.4 	5.3 	5.7 	5.9 b	6.3 	6.7 	7.2 	6.8 	6.8 	7.1 	7.7 	7.8 	8.3 
PPS_KGOE,B1GQ,HU	: 	: 	: 	: 	: 	3.0 	3.0 	3.3 	3.6 	3.8 	4.2 	4.6 	5.0 	5.1 	5.4 	5.3 b	5.6 	5.9 	6.1 	6.3 	6.4 	6.8 	7.3 	7.8 	8.1 
PPS_KGOE,B1GQ,IE	: 	: 	: 	: 	: 	5.0 	5.2 	5.6 	5.9 	6.2 	6.8 	7.0 	7.6 	8.2 	8.6 	9.2 b	9.8 	10.5 	9.8 	9.6 	10.0 	11.3 	11.7 	11.8 	12.8 
PPS_KGOE,B1GQ,IS	: 	: 	: 	: 	: 	2.2 	2.2 b	2.5 	2.5 	2.3 	2.2 	2.4 	2.4 	2.3 	2.6 	2.6 b	2.2 	2.0 	1.8 	1.6 	1.6 	1.5 	1.7 	1.7 	1.8 
PPS_KGOE,B1GQ,IT	: 	: 	: 	: 	: 	6.5 	6.7 	6.9 	7.1 	7.2 	7.6 	7.9 	7.7 	7.4 	7.5 	7.6 b	8.0 	8.5 	8.7 	8.7 	8.8 	9.3 	9.8 	10.0 	10.7 
PPS_KGOE,B1GQ,LT	: 	: 	: 	: 	: 	2.2 	2.2 	2.6 	2.6 	3.1 	3.7 	3.5 	3.6 	3.9 	4.1 	4.7 b	5.2 	5.4 	5.6 	5.1 	7.0 	7.4 	7.8 	8.7 	9.1 
PPS_KGOE,B1GQ,LU	: 	: 	: 	: 	: 	4.2 	4.4 	4.7 	5.0 	5.6 	5.9 	5.5 	5.6 	5.5 	5.4 	5.4 b	6.3 	7.0 	7.0 	6.9 	7.1 	7.9 	8.2 	8.8 	9.7 
PPS_KGOE,B1GQ,LV	: 	: 	: 	: 	: 	2.7 	2.8 	3.2 	3.5 	3.9 	4.3 	4.4 	4.9 	5.0 	5.3 	5.8 b	6.3 	7.0 	7.2 	6.1 	6.0 	6.9 	7.2 	7.5 	7.9 
PPS_KGOE,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.4 	5.9 	6.0 	6.5 	7.2 
PPS_KGOE,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.2 	4.4 	4.2 	4.6 	5.1 b	5.3 	5.4 	5.9 	6.4 	6.5 	5.9 	6.3 	7.2 	8.0 
PPS_KGOE,B1GQ,MT	: 	: 	: 	: 	: 	6.5 	6.5 	5.5 	7.3 	7.2 	8.1 	7.2 	8.2 	7.7 	7.7 	7.8 b	8.5 	8.5 	8.8 	9.7 	9.7 	9.7 	9.5 	11.1 	11.8 
PPS_KGOE,B1GQ,NL	: 	: 	: 	: 	: 	3.9 	4.0 	4.4 	4.7 	5.1 	5.6 	5.6 	5.8 	5.5 	5.7 	6.0 b	6.5 	7.0 	7.1 	6.8 	6.6 	7.3 	7.3 	7.4 	7.9 
PPS_KGOE,B1GQ,NO	: 	: 	: 	: 	: 	3.7 	4.3 	4.4 	4.2 	4.4 	5.4 	5.4 	5.8 	5.5 	6.2 	6.9 b	7.5 	7.8 	7.1 	6.4 	6.4 	8.2 	8.3 	7.4 	8.6 
PPS_KGOE,B1GQ,PL	: 	: 	: 	: 	: 	2.5 	2.6 	2.9 	3.3 	3.6 	4.0 	4.0 	4.3 	4.2 	4.6 	4.8 b	4.9 	5.4 	5.5 	5.9 	6.0 	6.4 	7.0 	7.0 	7.6 
PPS_KGOE,B1GQ,PT	: 	: 	: 	: 	: 	5.6 	5.9 	6.0 	5.9 	5.9 	6.3 	6.5 	6.5 	6.7 	6.7 	7.1 b	7.8 	8.2 	8.5 	8.3 	8.9 	9.1 	9.7 	9.6 	10.1 
PPS_KGOE,B1GQ,RO	: 	: 	: 	: 	: 	2.3 	2.4 	2.4 	2.5 	2.9 	3.0 	3.3 	3.4 	3.5 	4.1 	4.4 b	4.9 	5.6 	6.4 	6.8 	7.2 	7.3 	8.1 	8.9 	9.4 
PPS_KGOE,B1GQ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	3.6 	3.8 	4.1 	4.3 	4.2 	4.2 	4.9 	4.8 	5.5 
PPS_KGOE,B1GQ,SE	: 	: 	: 	: 	: 	3.3 	3.4 	3.6 	3.7 	4.0 	4.6 	4.4 	4.6 	4.8 	5.0 	5.1 b	5.6 	6.1 	6.1 	6.1 	5.9 	6.3 	6.4 	6.5 	6.8 
PPS_KGOE,B1GQ,SI	: 	: 	: 	: 	: 	3.6 	3.7 	3.9 	4.2 	4.5 	4.8 	4.7 	5.0 	5.1 	5.3 	5.5 b	5.8 	6.2 	6.0 	6.0 	5.9 	6.0 	6.3 	6.4 	7.0 
PPS_KGOE,B1GQ,SK	: 	: 	: 	: 	: 	2.1 	2.3 	2.5 	2.7 	2.7 	2.9 	3.0 	3.2 	3.4 	3.7 	3.9 b	4.4 	5.3 	5.5 	5.6 	5.7 	5.9 	6.4 	6.5 	7.1 
PPS_KGOE,B1GQ,UK	: 	: 	: 	: 	: 	4.9 	5.1 	5.6 	5.7 	5.9 	6.4 	6.6 	7.0 	7.1 	7.5 	7.8 b	8.2 	8.7 	8.6 	8.4 	8.2 	8.9 	8.9 	9.2 	10.2 
