Lieu;Série;Unité;Année;Valeur
Bourgogne;Prix des Terres > 70 ares;€;2003;2 730
Bretagne;Prix des Terres > 70 ares;€;2003;3 800
Centre;Prix des Terres > 70 ares;€;2003;3 810
Champagne-Ardenne;Prix des Terres > 70 ares;€;2003;4 960
Franche-Comté;Prix des Terres > 70 ares;€;2003;2 330
Haute-Normandie;Prix des Terres > 70 ares;€;2003;5 240
Ile-de-France;Prix des Terres > 70 ares;€;2003;5 000
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2003;4 780
Limousin;Prix des Terres > 70 ares;€;2003;2 550
Lorraine;Prix des Terres > 70 ares;€;2003;3 340
Midi-Pyrénées;Prix des Terres > 70 ares;€;2003;4 860
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2003;6 500
Pays de la Loire;Prix des Terres > 70 ares;€;2003;2 550
Picardie;Prix des Terres > 70 ares;€;2003;5 270
Poitou-Charentes;Prix des Terres > 70 ares;€;2003;3 120
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2003;8 510
Rhône-Alpes;Prix des Terres > 70 ares;€;2003;3 920
Alsace;Prix des Terres > 70 ares;€;2004;5 870
Aquitaine;Prix des Terres > 70 ares;€;2004;5 460
Auvergne;Prix des Terres > 70 ares;€;2004;3 710
Basse-Normandie;Prix des Terres > 70 ares;€;2004;4 480
Bourgogne;Prix des Terres > 70 ares;€;2004;2 770
Bretagne;Prix des Terres > 70 ares;€;2004;3 990
Centre;Prix des Terres > 70 ares;€;2004;3 740
Champagne-Ardenne;Prix des Terres > 70 ares;€;2004;4 910
Franche-Comté;Prix des Terres > 70 ares;€;2004;2 200
Haute-Normandie;Prix des Terres > 70 ares;€;2004;5 890
Ile-de-France;Prix des Terres > 70 ares;€;2004;5 310
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2004;4 620
Limousin;Prix des Terres > 70 ares;€;2004;2 390
Lorraine;Prix des Terres > 70 ares;€;2004;3 210
Midi-Pyrénées;Prix des Terres > 70 ares;€;2004;4 850
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2004;6 360
Pays de la Loire;Prix des Terres > 70 ares;€;2004;2 600
Picardie;Prix des Terres > 70 ares;€;2004;5 420
Poitou-Charentes;Prix des Terres > 70 ares;€;2004;3 410
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2004;8 350
Rhône-Alpes;Prix des Terres > 70 ares;€;2004;4 360
Alsace;Prix des Terres > 70 ares;€;2005;5 930
Aquitaine;Prix des Terres > 70 ares;€;2005;6 060
Auvergne;Prix des Terres > 70 ares;€;2005;4 100
Basse-Normandie;Prix des Terres > 70 ares;€;2005;4 530
Bourgogne;Prix des Terres > 70 ares;€;2005;2 840
Bretagne;Prix des Terres > 70 ares;€;2005;4 110
Centre;Prix des Terres > 70 ares;€;2005;4 000
Champagne-Ardenne;Prix des Terres > 70 ares;€;2005;4 950
Franche-Comté;Prix des Terres > 70 ares;€;2005;2 200
Haute-Normandie;Prix des Terres > 70 ares;€;2005;6 060
Ile-de-France;Prix des Terres > 70 ares;€;2005;5 420
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2005;5 370
Limousin;Prix des Terres > 70 ares;€;2005;2 820
Lorraine;Prix des Terres > 70 ares;€;2005;3 110
Midi-Pyrénées;Prix des Terres > 70 ares;€;2005;5 060
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2005;7 330
Pays de la Loire;Prix des Terres > 70 ares;€;2005;2 730
Picardie;Prix des Terres > 70 ares;€;2005;5 850
Poitou-Charentes;Prix des Terres > 70 ares;€;2005;3 400
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2005;10 140
Rhône-Alpes;Prix des Terres > 70 ares;€;2005;4 180
Alsace;Prix des Terres > 70 ares;€;2006;5 440
Aquitaine;Prix des Terres > 70 ares;€;2006;5 570
Auvergne;Prix des Terres > 70 ares;€;2006;4 260
Basse-Normandie;Prix des Terres > 70 ares;€;2006;4 900
Bourgogne;Prix des Terres > 70 ares;€;2006;3 010
Bretagne;Prix des Terres > 70 ares;€;2006;4 160
Centre;Prix des Terres > 70 ares;€;2006;4 140
Champagne-Ardenne;Prix des Terres > 70 ares;€;2006;5 210
Franche-Comté;Prix des Terres > 70 ares;€;2006;2 280
Haute-Normandie;Prix des Terres > 70 ares;€;2006;6 530
Ile-de-France;Prix des Terres > 70 ares;€;2006;5 610
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2006;4 760
Limousin;Prix des Terres > 70 ares;€;2006;2 920
Lorraine;Prix des Terres > 70 ares;€;2006;3 440
Midi-Pyrénées;Prix des Terres > 70 ares;€;2006;5 180
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2006;6 850
Pays de la Loire;Prix des Terres > 70 ares;€;2006;2 850
Picardie;Prix des Terres > 70 ares;€;2006;6 530
Poitou-Charentes;Prix des Terres > 70 ares;€;2006;3 570
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2006;9 320
Rhône-Alpes;Prix des Terres > 70 ares;€;2006;4 350
Alsace;Prix des Terres > 70 ares;€;2007;5 920
