Lieu;Département;Série;Unité;Année;Valeur
ALSACE;42;Cuivre;t/an;2009;1.726
ALSACE;42;Cyanures;kg/an;1999;0.0
ALSACE;42;Cyanures;kg/an;2000;14500.0
ALSACE;42;Cyanures;kg/an;2001;11899.0
ALSACE;42;Cyanures;kg/an;2002;13846.0
ALSACE;42;Cyanures;kg/an;2004;16370.0
ALSACE;42;Cyanures;kg/an;2005;9666.0
ALSACE;42;Cyanures;kg/an;2006;8660.0
ALSACE;42;Cyanures;kg/an;2007;5123.0
ALSACE;42;Cyanures;kg/an;2008;5120.0
ALSACE;42;Cyanures;kg/an;2009;4140.0
ALSACE;42;DBO5 (sauf épandage);t/an;1999;ND
ALSACE;42;DBO5 (sauf épandage);t/an;2000;ND
ALSACE;42;DBO5 (sauf épandage);t/an;2001;ND
ALSACE;42;DBO5 (sauf épandage);t/an;2002;ND
ALSACE;42;DBO5 (sauf épandage);t/an;2004;10646.854
ALSACE;42;DBO5 (sauf épandage);t/an;2005;10468.959
ALSACE;42;DBO5 (sauf épandage);t/an;2006;10010.73
ALSACE;42;DBO5 (sauf épandage);t/an;2007;13853.524
ALSACE;42;DBO5 (sauf épandage);t/an;2008;14844.6
ALSACE;42;DBO5 (sauf épandage);t/an;2009;7665.767
ALSACE;42;DBO5 (y compris épandage);t/an;1999;ND
ALSACE;42;DBO5 (y compris épandage);t/an;2000;ND
ALSACE;42;DBO5 (y compris épandage);t/an;2001;ND
ALSACE;42;DBO5 (y compris épandage);t/an;2002;ND
ALSACE;42;DBO5 (y compris épandage);t/an;2004;10646.854
ALSACE;42;DBO5 (y compris épandage);t/an;2005;10468.959
ALSACE;42;DBO5 (y compris épandage);t/an;2006;10010.73
ALSACE;42;DBO5 (y compris épandage);t/an;2007;13853.524
ALSACE;42;DBO5 (y compris épandage);t/an;2008;14844.6
ALSACE;42;DBO5 (y compris épandage);t/an;2009;7665.767
ALSACE;42;DCO (sauf épandage);t/an;1999;28094.0
ALSACE;42;DCO (sauf épandage);t/an;2000;21186.0
ALSACE;42;DCO (sauf épandage);t/an;2001;28833.0
ALSACE;42;DCO (sauf épandage);t/an;2002;25938.316
ALSACE;42;DCO (sauf épandage);t/an;2004;31648.118
ALSACE;42;DCO (sauf épandage);t/an;2005;26815.405
ALSACE;42;DCO (sauf épandage);t/an;2006;30575.769
ALSACE;42;DCO (sauf épandage);t/an;2007;39042.668
ALSACE;42;DCO (sauf épandage);t/an;2008;30703.98
ALSACE;42;DCO (sauf épandage);t/an;2009;20936.455
ALSACE;42;DCO (y compris épandage);t/an;1999;28094.0
ALSACE;42;DCO (y compris épandage);t/an;2000;21186.0
ALSACE;42;DCO (y compris épandage);t/an;2001;28833.0
ALSACE;42;DCO (y compris épandage);t/an;2002;25938.316
ALSACE;42;DCO (y compris épandage);t/an;2004;31648.118
ALSACE;42;DCO (y compris épandage);t/an;2005;26815.405
ALSACE;42;DCO (y compris épandage);t/an;2006;30575.769
ALSACE;42;DCO (y compris épandage);t/an;2007;39042.668
ALSACE;42;DCO (y compris épandage);t/an;2008;30703.98
ALSACE;42;DCO (y compris épandage);t/an;2009;20936.455
ALSACE;42;Dichlorométhane;kg/an;1999;ND
ALSACE;42;Dichlorométhane;kg/an;2000;ND
ALSACE;42;Dichlorométhane;kg/an;2001;0.0
ALSACE;42;Dichlorométhane;kg/an;2002;0.0
ALSACE;42;Dichlorométhane;kg/an;2004;343.1
ALSACE;42;Dichlorométhane;kg/an;2005;1590.0
ALSACE;42;Dichlorométhane;kg/an;2006;637.0
ALSACE;42;Dichlorométhane;kg/an;2007;19350.0
ALSACE;42;Dichlorométhane;kg/an;2008;858.0
ALSACE;42;Dichlorométhane;kg/an;2009;104.969
ALSACE;42;Étain;t/an;1999;0.0
ALSACE;42;Étain;t/an;2000;0.0
ALSACE;42;Étain;t/an;2001;0.0
ALSACE;42;Étain;t/an;2002;0.0
ALSACE;42;Étain;t/an;2004;0.0
ALSACE;42;Étain;t/an;2005;0.0
ALSACE;42;Étain;t/an;2006;0.0
ALSACE;42;Étain;t/an;2007;0.0
ALSACE;42;Étain;t/an;2008;0.0
ALSACE;42;Étain;t/an;2009;0.0
ALSACE;42;Fer;t/an;1999;22.6
ALSACE;42;Fer;t/an;2000;4546.6
ALSACE;42;Fer;t/an;2001;3494.7
ALSACE;42;Fer;t/an;2002;2405.909
ALSACE;42;Fer;t/an;2004;1550.602
ALSACE;42;Fer;t/an;2005;1404.099
ALSACE;42;Fer;t/an;2006;1333.304
ALSACE;42;Fer;t/an;2007;24.326
ALSACE;42;Fer;t/an;2008;4.744
ALSACE;42;Fer;t/an;2009;6.895
ALSACE;42;Fluor;t/an;1999;10.0
ALSACE;42;Fluor;t/an;2000;10.0
ALSACE;42;Fluor;t/an;2001;8.7
ALSACE;42;Fluor;t/an;2002;10.5
ALSACE;42;Fluor;t/an;2004;8.91
ALSACE;42;Fluor;t/an;2005;0.0
ALSACE;42;Fluor;t/an;2006;11.9
ALSACE;42;Fluor;t/an;2007;10.9
ALSACE;42;Fluor;t/an;2008;18.637
ALSACE;42;Fluor;t/an;2009;10.958
ALSACE;42;Hydrocarbures;t/an;1999;73.7
ALSACE;42;Hydrocarbures;t/an;2000;100.9
ALSACE;42;Hydrocarbures;t/an;2001;85.2
ALSACE;42;Hydrocarbures;t/an;2002;63.15
ALSACE;42;Hydrocarbures;t/an;2004;16.594
ALSACE;42;Hydrocarbures;t/an;2005;14.712
ALSACE;42;Hydrocarbures;t/an;2006;0.0
ALSACE;42;Hydrocarbures;t/an;2007;0.0
ALSACE;42;Hydrocarbures;t/an;2008;0.0
ALSACE;42;Hydrocarbures;t/an;2009;0.0
ALSACE;42;Indice Phénol/Phénols;t/an;1999;2.83
ALSACE;42;Indice Phénol/Phénols;t/an;2000;1.61
ALSACE;42;Indice Phénol/Phénols;t/an;2001;4.038
ALSACE;42;Indice Phénol/Phénols;t/an;2002;3.008
ALSACE;42;Indice Phénol/Phénols;t/an;2004;2.986
ALSACE;42;Indice Phénol/Phénols;t/an;2005;3.288
ALSACE;42;Indice Phénol/Phénols;t/an;2006;3.505
ALSACE;42;Indice Phénol/Phénols;t/an;2007;5.331
ALSACE;42;Indice Phénol/Phénols;t/an;2008;3.799
ALSACE;42;Indice Phénol/Phénols;t/an;2009;4.209
ALSACE;42;Manganèse;t/an;1999;18.25
ALSACE;42;Manganèse;t/an;2000;105.0
ALSACE;42;Manganèse;t/an;2001;91.1
ALSACE;42;Manganèse;t/an;2002;85.694
ALSACE;42;Manganèse;t/an;2004;52.426
ALSACE;42;Manganèse;t/an;2005;51.048
ALSACE;42;Manganèse;t/an;2006;232.577
ALSACE;42;Manganèse;t/an;2007;170.85
ALSACE;42;Manganèse;t/an;2008;80.077
ALSACE;42;Manganèse;t/an;2009;6.292
ALSACE;42;Matières en suspension (sauf épandage);t/an;1999;251163.0
ALSACE;42;Matières en suspension (sauf épandage);t/an;2000;240290.0
ALSACE;42;Matières en suspension (sauf épandage);t/an;2001;205208.0
ALSACE;42;Matières en suspension (sauf épandage);t/an;2002;131478.163
ALSACE;42;Matières en suspension (sauf épandage);t/an;2004;86047.258
ALSACE;42;Matières en suspension (sauf épandage);t/an;2005;67474.604
ALSACE;42;Matières en suspension (sauf épandage);t/an;2006;66837.953
ALSACE;42;Matières en suspension (sauf épandage);t/an;2007;8845.538
ALSACE;42;Matières en suspension (sauf épandage);t/an;2008;5776.918
ALSACE;42;Matières en suspension (sauf épandage);t/an;2009;1310.553
ALSACE;42;Matières en suspension (y compris épandage);t/an;1999;251163.0
ALSACE;42;Matières en suspension (y compris épandage);t/an;2000;240290.0
ALSACE;42;Matières en suspension (y compris épandage);t/an;2001;205208.0
ALSACE;42;Matières en suspension (y compris épandage);t/an;2002;131478.163
ALSACE;42;Matières en suspension (y compris épandage);t/an;2004;86047.258
ALSACE;42;Matières en suspension (y compris épandage);t/an;2005;67474.604
ALSACE;42;Matières en suspension (y compris épandage);t/an;2006;66837.953
ALSACE;42;Matières en suspension (y compris épandage);t/an;2007;8845.538
ALSACE;42;Matières en suspension (y compris épandage);t/an;2008;5776.918
ALSACE;42;Matières en suspension (y compris épandage);t/an;2009;1310.553
ALSACE;42;Mercure;kg/an;1999;44.5
ALSACE;42;Mercure;kg/an;2000;119.5
ALSACE;42;Mercure;kg/an;2001;115.8
ALSACE;42;Mercure;kg/an;2002;121.0
ALSACE;42;Mercure;kg/an;2004;111.719
ALSACE;42;Mercure;kg/an;2005;105.328
ALSACE;42;Mercure;kg/an;2006;107.95
ALSACE;42;Mercure;kg/an;2007;21.8
ALSACE;42;Mercure;kg/an;2008;17.441
ALSACE;42;Mercure;kg/an;2009;41.01
ALSACE;42;Nickel;t/an;1999;10.18
ALSACE;42;Nickel;t/an;2000;8.23
ALSACE;42;Nickel;t/an;2001;6.775
ALSACE;42;Nickel;t/an;2002;7.178
ALSACE;42;Nickel;t/an;2004;6.107
ALSACE;42;Nickel;t/an;2005;5.866
ALSACE;42;Nickel;t/an;2006;4.712
ALSACE;42;Nickel;t/an;2007;2.313
ALSACE;42;Nickel;t/an;2008;2.05
ALSACE;42;Nickel;t/an;2009;1.451
ALSACE;42;Phosphore (sauf épandage);t/an;1999;175.52
ALSACE;42;Phosphore (sauf épandage);t/an;2000;205.7
ALSACE;42;Phosphore (sauf épandage);t/an;2001;215.9
ALSACE;42;Phosphore (sauf épandage);t/an;2002;240.631
ALSACE;42;Phosphore (sauf épandage);t/an;2004;264.663
ALSACE;42;Phosphore (sauf épandage);t/an;2005;217.129
ALSACE;42;Phosphore (sauf épandage);t/an;2006;174.414
ALSACE;42;Phosphore (sauf épandage);t/an;2007;143.529
ALSACE;42;Phosphore (sauf épandage);t/an;2008;239.123
ALSACE;42;Phosphore (sauf épandage);t/an;2009;128.916
ALSACE;42;Phosphore (y compris épandage);t/an;1999;175.52
ALSACE;42;Phosphore (y compris épandage);t/an;2000;205.7
ALSACE;42;Phosphore (y compris épandage);t/an;2001;215.9
ALSACE;42;Phosphore (y compris épandage);t/an;2002;240.631
ALSACE;42;Phosphore (y compris épandage);t/an;2004;264.663
ALSACE;42;Phosphore (y compris épandage);t/an;2005;217.129
ALSACE;42;Phosphore (y compris épandage);t/an;2006;174.414
ALSACE;42;Phosphore (y compris épandage);t/an;2007;143.529
ALSACE;42;Phosphore (y compris épandage);t/an;2008;239.123
ALSACE;42;Phosphore (y compris épandage);t/an;2009;128.916
ALSACE;42;Plomb;t/an;1999;3.98
ALSACE;42;Plomb;t/an;2000;3.93
ALSACE;42;Plomb;t/an;2001;3.594
ALSACE;42;Plomb;t/an;2002;2.497
ALSACE;42;Plomb;t/an;2004;2.093
ALSACE;42;Plomb;t/an;2005;2.899
ALSACE;42;Plomb;t/an;2006;1.829
ALSACE;42;Plomb;t/an;2007;0.378
ALSACE;42;Plomb;t/an;2008;0.114
ALSACE;42;Plomb;t/an;2009;0.169
ALSACE;42;Sulfates;t/an;1999;0.0
ALSACE;42;Sulfates;t/an;2000;56163.0
ALSACE;42;Sulfates;t/an;2001;38580.0
ALSACE;42;Sulfates;t/an;2002;58853.683
ALSACE;42;Sulfates;t/an;2004;44775.075
ALSACE;42;Sulfates;t/an;2005;41387.292
