nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	DE80A	:	8392	7547	8689	8173	6622	8337	7781
TOTAL	THS_T	DE80B	:	3597	3626	3373	3867	2756	3138	2816
TOTAL	THS_T	DE80C	:	3171	4460	3284	2899	3077	3256	2702
TOTAL	THS_T	DE80D	:	3689	3415	3328	3781	3906	3200	3805
TOTAL	THS_T	DE80E	:	5877	5537	6082	5460	4869	5537	6730
TOTAL	THS_T	DE80F	:	4699	3406	4268	3617	3102	4285	4403
TOTAL	THS_T	DE80G	:	4580	4092	3807	4252	3584	3563	4788
TOTAL	THS_T	DE80H	:	2468	1685	2148	3611	3910	4321	3429
TOTAL	THS_T	DE80I	:	1927	2352	2834	2219	2302	2435	2351
TOTAL	THS_T	DE911	:	7114	6810	7541	6741	7058	6691	7263
TOTAL	THS_T	DE912	:	8417	7556	7403	7263	6655	6667	8623
TOTAL	THS_T	DE913	:	6963	5827	5798	6280	3741	4816	5089
TOTAL	THS_T	DE914	:	3298	3858	3423	3464	3037	4084	3595
TOTAL	THS_T	DE915	:	6278	6313	6082	6123	7551	6419	5824
TOTAL	THS_T	DE916	:	9538	6494	8073	7140	6123	6261	5295
TOTAL	THS_T	DE917	:	4099	3354	2678	3663	3180	3580	3806
TOTAL	THS_T	DE918	:	4231	3817	3784	3830	5188	3607	3585
TOTAL	THS_T	DE919	:	3900	3455	3727	3095	2646	3595	3849
TOTAL	THS_T	DE91A	:	5412	4981	4705	6231	3687	4788	5684
TOTAL	THS_T	DE91B	:	3397	2413	2617	2908	3248	3790	2429
TOTAL	THS_T	DE922	:	9884	8476	8709	11281	7610	9606	9349
TOTAL	THS_T	DE923	:	4205	3581	4229	3874	4154	4142	4753
TOTAL	THS_T	DE925	:	9133	9702	10238	9048	8671	8950	8085
TOTAL	THS_T	DE926	:	3603	3428	3329	3591	2806	3525	3119
TOTAL	THS_T	DE927	:	7373	6636	7469	7532	5448	6554	7086
TOTAL	THS_T	DE928	:	6475	5383	6271	5966	5775	5341	5508
TOTAL	THS_T	DE929	:	36864	31891	34515	33248	27113	31203	31896
TOTAL	THS_T	DE931	:	3698	3396	3872	3621	2538	2543	2762
TOTAL	THS_T	DE932	:	7214	6410	6311	4935	4673	3590	7972
TOTAL	THS_T	DE933	:	11914	11470	9209	10054	8614	8768	9206
TOTAL	THS_T	DE934	:	1436	1752	1331	1737	1889	1689	1505
TOTAL	THS_T	DE935	:	3769	4187	4124	4515	3911	3624	5339
TOTAL	THS_T	DE936	:	2662	2481	2413	2802	1918	2066	1430
TOTAL	THS_T	DE937	:	7312	5613	6756	6679	6811	7222	5352
TOTAL	THS_T	DE938	:	4941	6102	5228	4636	4212	6041	4521
TOTAL	THS_T	DE939	:	7869	6439	6159	6325	6192	7829	6218
TOTAL	THS_T	DE93A	:	3858	3514	2957	3371	2965	3448	3935
TOTAL	THS_T	DE93B	:	4893	5078	5894	4984	5531	5085	5037
TOTAL	THS_T	DE941	:	1475	765	928	1059	1159	856	977
TOTAL	THS_T	DE942	:	2892	3474	2936	2378	2468	3095	2250
TOTAL	THS_T	DE943	:	3441	3428	4558	4256	3742	4001	4473
TOTAL	THS_T	DE944	:	6146	6381	6625	7129	7365	6154	7357
TOTAL	THS_T	DE945	:	2455	3150	3870	3354	3671	3516	3153
TOTAL	THS_T	DE946	:	6918	5623	5536	5651	5985	5776	3925
TOTAL	THS_T	DE947	:	3682	4753	4584	4245	4161	3617	3959
TOTAL	THS_T	DE948	:	13888	14444	13519	13244	13049	11801	10940
TOTAL	THS_T	DE949	:	19543	20908	19410	19261	19708	15500	17497
TOTAL	THS_T	DE94A	:	2890	4683	3815	3478	3570	3401	3215
TOTAL	THS_T	DE94B	:	4975	5539	6051	6228	5451	3790	4183
TOTAL	THS_T	DE94C	:	4377	4614	5206	4599	3641	4869	4219
TOTAL	THS_T	DE94D	:	6337	5753	6612	5440	6334	4998	5209
TOTAL	THS_T	DE94E	:	17633	15761	13837	15049	14250	12346	15827
TOTAL	THS_T	DE94F	:	12674	11245	11311	11725	10460	11270	10911
TOTAL	THS_T	DE94G	:	5796	5620	5679	5233	4477	2952	5535
TOTAL	THS_T	DE94H	:	1606	1106	1423	1326	2043	1628	1714
TOTAL	THS_T	DEA11	:	11873	13180	12404	13390	13104	10715	14109
TOTAL	THS_T	DEA12	:	24115	23137	23423	24913	22998	20778	25326
TOTAL	THS_T	DEA13	:	9708	8569	9369	10656	8914	11114	10391
TOTAL	THS_T	DEA14	:	8058	8507	9062	8253	8578	8341	11011
TOTAL	THS_T	DEA15	:	5910	6316	5797	5628	5346	5762	5575
TOTAL	THS_T	DEA16	:	3684	3287	3609	3443	3142	3457	4005
TOTAL	THS_T	DEA17	:	3796	4287	4311	4297	3312	4095	5032
TOTAL	THS_T	DEA18	:	1861	1810	1633	1496	1916	1726	2274
TOTAL	THS_T	DEA19	:	1945	2058	2170	1629	1589	1335	2046
TOTAL	THS_T	DEA1A	:	7113	5633	6340	5751	6882	6856	7222
TOTAL	THS_T	DEA1B	:	10557	8938	9304	9740	7796	8789	9753
TOTAL	THS_T	DEA1C	:	12525	11904	11222	11816	11677	9349	13205
TOTAL	THS_T	DEA1D	:	20766	21483	20874	20304	20597	16562	20165
TOTAL	THS_T	DEA1E	:	8287	6591	6922	8791	7960	7001	10678
TOTAL	THS_T	DEA1F	:	16936	18190	18270	21675	18224	21115	19976
TOTAL	THS_T	DEA21	:	:	:	:	3434	3145	2974	5025
TOTAL	THS_T	DEA22	:	2654	2578	2560	3264	2774	2225	2436
TOTAL	THS_T	DEA23	:	24445	26007	24771	23471	23904	27157	29912
TOTAL	THS_T	DEA24	:	3727	3831	3452	3707	3352	3404	5110
TOTAL	THS_T	DEA25	:	:	:	:	5928	7108	6232	6509
TOTAL	THS_T	DEA26	:	10425	8897	9719	10242	10860	11724	13203
TOTAL	THS_T	DEA27	:	25935	25334	27783	29794	25547	27311	24222
TOTAL	THS_T	DEA28	:	6494	6006	6220	5604	6323	5739	7366
TOTAL	THS_T	DEA29	:	9056	8304	7312	6962	5775	6614	7853
TOTAL	THS_T	DEA2A	:	7765	7710	7246	6995	5614	6134	7848
TOTAL	THS_T	DEA2B	:	3664	2718	2524	3181	3332	2650	3686
TOTAL	THS_T	DEA2C	:	15162	14329	13423	16097	13293	13158	16229
TOTAL	THS_T	DEA2D	:	10991	10119	11115	:	:	:	:
TOTAL	THS_T	DEA31	:	4511	6953	4739	4848	3509	4222	6568
TOTAL	THS_T	DEA32	:	9193	9930	9889	9935	8853	9328	10993
TOTAL	THS_T	DEA33	:	5637	5894	6457	6385	5928	5175	5044
TOTAL	THS_T	DEA34	:	13027	12533	13324	12256	11671	11298	12111
TOTAL	THS_T	DEA35	:	5990	5132	6466	5715	5574	5102	4526
TOTAL	THS_T	DEA36	:	22465	21799	19406	22491	20096	23321	22462
TOTAL	THS_T	DEA37	:	19400	18906	18450	20678	16752	16415	18662
TOTAL	THS_T	DEA38	:	11114	11061	9344	9672	9401	10166	10496
TOTAL	THS_T	DEA41	:	7570	8378	7503	9298	9208	6897	8705
TOTAL	THS_T	DEA42	:	15825	13912	13080	15653	12382	12200	14420
TOTAL	THS_T	DEA43	:	7635	6643	7890	7270	6802	5865	7218
TOTAL	THS_T	DEA44	:	6213	5450	5547	6962	5498	6880	6666
TOTAL	THS_T	DEA45	:	9624	9473	8866	8350	9120	6781	9673
TOTAL	THS_T	DEA46	:	11613	11843	11502	11720	10701	9671	11018
TOTAL	THS_T	DEA47	:	11137	11208	9711	11339	10432	8823	11592
TOTAL	THS_T	DEA51	:	7929	7303	7294	7850	6133	6692	8719
TOTAL	THS_T	DEA52	:	15193	14312	15197	17471	16100	17512	21340
TOTAL	THS_T	DEA53	:	11020	10350	11152	10818	9905	9019	11406
TOTAL	THS_T	DEA54	:	7917	7644	7285	7976	6918	8658	8931
TOTAL	THS_T	DEA55	:	3739	3605	3826	3314	4170	3451	3671
TOTAL	THS_T	DEA56	:	6432	6886	6550	6967	5622	6378	10194
TOTAL	THS_T	DEA57	:	18391	16860	16359	19557	18520	17553	20445
TOTAL	THS_T	DEA58	:	14450	14092	13246	14878	12662	13182	15370
TOTAL	THS_T	DEA59	:	6667	6042	5899	6563	5696	5904	8274
TOTAL	THS_T	DEA5A	:	11376	12133	11243	12012	11832	9807	12311
TOTAL	THS_T	DEA5B	:	17487	17291	18088	16272	13544	17246	15803
TOTAL	THS_T	DEA5C	:	13396	13791	13972	17138	13227	12776	15594
TOTAL	THS_T	DEB11	:	4051	3891	3828	4500	3788	3746	3833
TOTAL	THS_T	DEB12	:	5546	3582	4182	4161	3741	4417	4243
TOTAL	THS_T	DEB13	:	3055	3905	3540	3202	3401	2669	3471
TOTAL	THS_T	DEB14	:	8529	8284	8913	6863	7851	8112	9692
TOTAL	THS_T	DEB15	:	2282	2392	2272	2921	1889	2437	2510
TOTAL	THS_T	DEB16	:	2322	2971	1968	2611	2182	2232	2536
TOTAL	THS_T	DEB17	:	17091	16716	16756	18022	15282	15216	17196
TOTAL	THS_T	DEB18	:	7330	6847	6461	6966	6142	5697	7723
TOTAL	THS_T	DEB19	:	3245	2905	2428	3664	3451	2501	3301
TOTAL	THS_T	DEB1A	:	5730	4606	3950	5802	3593	3158	4518
TOTAL	THS_T	DEB1B	:	10045	9253	10053	9799	8666	9630	10616
TOTAL	THS_T	DEB21	:	2505	2116	2575	2284	2419	2358	2689
TOTAL	THS_T	DEB22	:	7769	6706	6218	8683	5712	7532	7875
TOTAL	THS_T	DEB23	:	5087	5613	4473	5339	4079	4663	5582
TOTAL	THS_T	DEB24	:	5184	6092	4866	5610	5379	6331	4908
TOTAL	THS_T	DEB25	:	3722	3109	3882	3012	3024	3666	4284
TOTAL	THS_T	DEB31	:	710	702	765	1049	650	635	614
TOTAL	THS_T	DEB32	:	2147	2429	2079	2416	1411	2133	2135
TOTAL	THS_T	DEB33	:	1074	1701	2467	1015	886	854	1371
TOTAL	THS_T	DEB34	:	11230	9904	10611	11395	9642	9562	12596
TOTAL	THS_T	DEB35	:	5102	3900	4709	4396	4267	5605	4989
TOTAL	THS_T	DEB36	:	1024	987	909	1168	630	697	809
TOTAL	THS_T	DEB37	:	902	604	785	815	894	606	1085
TOTAL	THS_T	DEB38	:	2353	1795	2201	2152	1618	2405	2020
TOTAL	THS_T	DEB39	:	5058	4440	4125	5424	4104	4208	5297
TOTAL	THS_T	DEB3A	:	813	1045	941	772	522	953	879
TOTAL	THS_T	DEB3B	:	4675	5583	4387	4242	4336	4138	4510
TOTAL	THS_T	DEB3C	:	2537	2167	2433	2126	2024	2058	2473
TOTAL	THS_T	DEB3D	:	5217	7087	4956	6480	4118	5121	5741
TOTAL	THS_T	DEB3E	:	10538	9088	9058	8183	6641	7813	7812
TOTAL	THS_T	DEB3F	:	2397	2619	2397	2189	1922	2148	2075
TOTAL	THS_T	DEB3G	:	3570	3110	2217	2408	2332	2474	2708
TOTAL	THS_T	DEB3H	:	2723	3455	2927	4444	2999	3211	3277
TOTAL	THS_T	DEB3I	:	3727	2633	3429	2981	2886	2989	2519
TOTAL	THS_T	DEB3J	:	4661	4948	4169	4959	3764	5017	5169
TOTAL	THS_T	DEB3K	:	1800	1849	999	1733	658	1072	1191
TOTAL	THS_T	DEC01	:	7165	6983	5581	7759	5272	6171	8207
TOTAL	THS_T	DEC02	:	2457	2783	2960	3182	2104	1920	3506
TOTAL	THS_T	DEC03	:	2859	3060	2951	2602	2130	3080	2844
TOTAL	THS_T	DEC04	:	8100	8094	9241	8487	7726	8194	9871
TOTAL	THS_T	DEC05	:	5231	4423	4316	4574	3367	4720	5462
TOTAL	THS_T	DEC06	:	1966	2637	3220	3620	1349	1973	2786
TOTAL	THS_T	DED11	:	:	:	:	5506	5088	5148	6129
TOTAL	THS_T	DED12	:	:	:	:	1577	1633	1887	1924
TOTAL	THS_T	DED13	:	:	:	:	3892	4643	2841	4872
TOTAL	THS_T	DED14	:	:	:	:	1552	1996	2051	1992
TOTAL	THS_T	DED15	:	:	:	:	4799	4456	4250	5251
TOTAL	THS_T	DED16	:	:	:	:	5325	5420	4795	4975
TOTAL	THS_T	DED17	:	:	:	:	7214	5937	8185	6861
TOTAL	THS_T	DED18	:	:	:	:	2379	2471	2383	2396
TOTAL	THS_T	DED19	:	:	:	:	9726	8323	7022	7861
TOTAL	THS_T	DED1A	:	:	:	:	2486	1949	2127	2548
TOTAL	THS_T	DED1B	:	:	:	:	2714	2927	2990	4080
TOTAL	THS_T	DED1C	:	:	:	:	4202	3386	3460	6610
TOTAL	THS_T	DED21	:	9398	9766	8386	9842	8354	8094	11239
TOTAL	THS_T	DED22	:	:	:	:	970	486	512	730
TOTAL	THS_T	DED23	:	:	:	:	1704	1501	1354	2051
TOTAL	THS_T	DED24	:	:	:	:	5919	4832	5172	6344
TOTAL	THS_T	DED25	:	:	:	:	6137	6212	5448	6255
TOTAL	THS_T	DED26	:	:	:	:	4426	5853	4135	4283
TOTAL	THS_T	DED27	:	:	:	:	10178	10013	10496	8686
TOTAL	THS_T	DED28	:	:	:	:	4292	4702	4392	4014
TOTAL	THS_T	DED29	:	:	:	:	4172	3812	4612	3224
TOTAL	THS_T	DED2A	:	:	:	:	5303	5415	3167	3565
TOTAL	THS_T	DED2B	:	:	:	:	8835	8037	9150	9004
TOTAL	THS_T	DED2C	:	15168	16153	14926	:	:	:	:
TOTAL	THS_T	DED2D	:	6807	8244	8079	:	:	:	:
TOTAL	THS_T	DED2E	:	15613	15295	15491	:	:	:	:
TOTAL	THS_T	DED2F	:	7612	7992	8768	:	:	:	:
TOTAL	THS_T	DED31	:	:	:	:	10649	7681	8280	11048
TOTAL	THS_T	DED32	:	:	:	:	9518	8049	7717	7122
TOTAL	THS_T	DED33	:	:	:	:	2335	2897	2106	2569
TOTAL	THS_T	DED34	:	:	:	:	10835	7924	9221	9123
TOTAL	THS_T	DED35	:	:	:	:	7308	6454	6062	6712
TOTAL	THS_T	DED36	:	:	:	:	4479	4236	3849	4355
TOTAL	THS_T	DED41	:	5648	5039	5277	:	:	:	:
TOTAL	THS_T	DED42	:	9728	9342	9177	:	:	:	:
TOTAL	THS_T	DED43	:	14268	14578	14185	:	:	:	:
TOTAL	THS_T	DED44	:	8192	7253	7469	:	:	:	:
TOTAL	THS_T	DED45	:	12518	11398	10695	:	:	:	:
TOTAL	THS_T	DED51	:	11090	11736	11616	:	:	:	:
TOTAL	THS_T	DED52	:	14037	16638	14981	:	:	:	:
TOTAL	THS_T	DED53	:	13639	13792	12323	:	:	:	:
TOTAL	THS_T	DEE01	:	1469	1373	1433	1208	1037	1145	1998
TOTAL	THS_T	DEE02	:	3587	3478	3159	3294	3310	3764	4113
TOTAL	THS_T	DEE03	:	8646	7675	9761	8866	6955	7193	7588
TOTAL	THS_T	DEE04	:	2053	2497	2032	2314	2076	2404	2455
TOTAL	THS_T	DEE05	:	9147	9383	10243	8469	7887	9803	9603
TOTAL	THS_T	DEE06	:	4880	4737	3515	5186	5220	3796	5251
TOTAL	THS_T	DEE07	:	20286	18334	17896	20213	17078	17123	19007
TOTAL	THS_T	DEE08	:	13207	12881	13889	13849	12722	16671	15076
TOTAL	THS_T	DEE09	:	9617	9511	8319	9538	8503	10836	10673
TOTAL	THS_T	DEE0A	:	6540	6357	5902	5826	6008	5712	6946
TOTAL	THS_T	DEE0B	:	17335	19374	19052	21110	19403	18348	19327
TOTAL	THS_T	DEE0C	:	12887	13697	13538	14495	16142	12177	14246
TOTAL	THS_T	DEE0D	:	4216	4292	3919	4338	4441	4215	4067
TOTAL	THS_T	DEE0E	:	7413	7643	6821	6486	7631	5717	5968
TOTAL	THS_T	DEF01	:	2319	1923	2467	2116	2068	2181	1600
TOTAL	THS_T	DEF02	:	4109	3759	3508	3816	3511	3386	4119
TOTAL	THS_T	DEF03	:	7718	7897	7815	7693	6707	7026	7982
TOTAL	THS_T	DEF04	:	4134	3874	3322	2835	3496	2919	3732
TOTAL	THS_T	DEF05	:	9980	7387	7401	6037	6054	5398	8099
TOTAL	THS_T	DEF06	:	5370	8138	6644	7194	7718	6224	6358
TOTAL	THS_T	DEF07	:	5768	4046	4306	3947	3613	4067	3824
TOTAL	THS_T	DEF08	:	4804	4948	5148	4209	4626	5034	5540
TOTAL	THS_T	DEF09	:	5659	5016	5125	5560	5699	5377	5564
TOTAL	THS_T	DEF0A	:	3412	3242	3262	2842	2266	2671	2314
TOTAL	THS_T	DEF0B	:	10733	9169	8323	8971	9420	8253	8534
TOTAL	THS_T	DEF0C	:	7767	7669	5735	5791	5668	5438	4605
TOTAL	THS_T	DEF0D	:	12117	11522	10133	9229	9806	11360	9839
TOTAL	THS_T	DEF0E	:	7528	5931	5167	7166	5424	5377	6378
TOTAL	THS_T	DEF0F	:	5452	4254	3967	3868	3051	3863	3738
TOTAL	THS_T	DEG01	:	9716	8004	9536	9712	9121	8137	8439
TOTAL	THS_T	DEG02	:	2261	2124	1765	1541	1658	1838	2807
TOTAL	THS_T	DEG03	:	1878	2787	1851	2673	3208	2751	2458
TOTAL	THS_T	DEG04	:	680	489	731	931	583	555	652
TOTAL	THS_T	DEG05	:	2408	3103	2589	2518	2431	2655	2814
TOTAL	THS_T	DEG06	:	4613	5510	5251	4587	5886	4901	6292
TOTAL	THS_T	DEG07	:	5358	4390	5107	3386	4512	5142	7138
TOTAL	THS_T	DEG09	:	3490	3513	4968	4855	3685	4316	6178
TOTAL	THS_T	DEG0A	:	2749	2149	2373	3590	4807	3087	3950
TOTAL	THS_T	DEG0B	:	4341	4279	5406	5740	3994	4559	6261
TOTAL	THS_T	DEG0C	:	6892	6579	6267	6466	5024	6724	8013
TOTAL	THS_T	DEG0D	:	3660	2808	2576	1657	3476	1940	2915
TOTAL	THS_T	DEG0E	:	2473	1805	2549	3306	2722	2104	3095
TOTAL	THS_T	DEG0F	:	5756	5335	5225	5145	5788	6310	5616
TOTAL	THS_T	DEG0G	:	1672	1985	2760	2275	2231	1558	1934
TOTAL	THS_T	DEG0H	:	2724	2000	3020	2543	2650	1970	3969
TOTAL	THS_T	DEG0I	:	3181	3359	3149	3111	3831	4549	5793
TOTAL	THS_T	DEG0J	:	4047	5188	4721	6307	4926	5699	5632
TOTAL	THS_T	DEG0K	:	4999	7548	7626	5690	5676	4862	5835
TOTAL	THS_T	DEG0L	:	6705	6792	5823	7567	6026	7560	8875
TOTAL	THS_T	DEG0M	:	5175	5382	5007	7310	6078	6886	7038
TOTAL	THS_T	DEG0N	:	1620	1334	1405	1851	1570	2002	1509
TOTAL	THS_T	DEG0P	:	5161	5719	5234	6185	5551	5554	6835
TOTAL	THS_T	DK011	6517	6651	7066	5848	5271	5156	5338	5549
TOTAL	THS_T	DK012	12102	9708	9888	8554	9337	9797	7326	9611
TOTAL	THS_T	DK013	5831	4419	4301	4347	3781	3342	3851	6222
TOTAL	THS_T	DK014	1495	625	785	567	2209	1207	978	551
TOTAL	THS_T	DK021	9727	13415	7266	8189	5578	5567	6131	6934
TOTAL	THS_T	DK022	19349	18462	18066	19522	19256	15386	15120	21140
TOTAL	THS_T	DK031	12254	11960	12227	10495	13740	15320	11387	12951
TOTAL	THS_T	DK032	31563	34058	35300	36641	38910	36057	28305	35079
TOTAL	THS_T	DK041	23006	20178	21575	22568	18201	17997	15305	22428
TOTAL	THS_T	DK042	34043	30426	26319	29336	30640	27116	26043	35587
TOTAL	THS_T	DK050	19243	21357	22739	21127	22491	19804	18088	23199
TOTAL	THS_T	DKXXX	:	:	:	:	:	9	:	:
TOTAL	THS_T	EE001	9398	7238	9452	8199	8417	6503	7866	12274
TOTAL	THS_T	EE004	2680	2250	3047	2935	4493	2384	4498	4308
TOTAL	THS_T	EE006	7371	9094	9436	8921	10873	8616	8676	12890
TOTAL	THS_T	EE007	1191	1632	2217	4313	2507	3010	3292	4001
TOTAL	THS_T	EE008	1647	1233	1391	1879	1095	1877	1280	2759
TOTAL	THS_T	EL111	:	1509	3376	4379	4163	2663	3031	6704
TOTAL	THS_T	EL112	:	1089	1549	1086	1599	1311	2289	4363
TOTAL	THS_T	EL113	:	2241	1385	2632	1394	5343	3730	3227
TOTAL	THS_T	EL114	:	2972	2232	2253	1437	2919	2843	1813
TOTAL	THS_T	EL115	:	3266	2785	2551	2537	6721	4945	11761
TOTAL	THS_T	EL121	:	2159	1577	2548	1658	8814	3996	5862
TOTAL	THS_T	EL122	:	23282	15344	22908	19642	37813	42861	42093
TOTAL	THS_T	EL123	:	851	2008	1184	815	3810	4105	4897
TOTAL	THS_T	EL124	:	2737	4482	1909	5037	4611	6901	4626
TOTAL	THS_T	EL125	:	1009	5682	3547	9247	16517	6329	7506
TOTAL	THS_T	EL126	:	3105	2326	1652	3114	8221	5088	7891
TOTAL	THS_T	EL127	:	6612	3106	7439	5559	2850	5430	6381
TOTAL	THS_T	EL131	:	1355	147	85	1302	4637	5093	3230
TOTAL	THS_T	EL132	:	14947	2013	6402	879	937	502	2181
TOTAL	THS_T	EL133	:	83136	121721	98481	140439	85010	139736	109328
TOTAL	THS_T	EL134	:	38454	98865	49146	75244	48788	57398	34313
TOTAL	THS_T	EL141	:	6539	937	1673	4386	13701	6554	2796
TOTAL	THS_T	EL142	:	6570	11757	11988	8951	9170	14829	11827
TOTAL	THS_T	EL143	:	5073	4296	6404	2773	5171	6444	11378
TOTAL	THS_T	EL144	:	6816	2614	4528	6548	13967	5899	11329
TOTAL	THS_T	EL211	:	3847	2837	2838	2480	1511	2729	894
TOTAL	THS_T	EL212	:	3155	1085	665	3413	1425	1495	566
TOTAL	THS_T	EL213	:	9439	7290	6003	7325	8660	9012	24381
TOTAL	THS_T	EL214	:	973	686	350	1884	343	2270	1423
TOTAL	THS_T	EL221	:	143	108	43	476	865	2269	5250
TOTAL	THS_T	EL222	:	157	99	59	362	691	743	962
TOTAL	THS_T	EL223	:	340	365	245	1163	283	1487	2441
TOTAL	THS_T	EL224	:	261	296	455	305	88	396	419
TOTAL	THS_T	EL231	:	18160	9453	4049	10837	16230	25629	9158
TOTAL	THS_T	EL232	:	19855	16529	10893	14750	21462	29191	13156
TOTAL	THS_T	EL233	:	2961	2654	2252	4652	8271	5234	3562
TOTAL	THS_T	EL241	:	7321	20985	11287	11271	15662	10383	13306
TOTAL	THS_T	EL242	:	4774	4005	9227	6672	7780	6201	10937
TOTAL	THS_T	EL243	:	664	544	81	293	88	299	1226
TOTAL	THS_T	EL244	:	4012	6072	13556	11153	9890	8247	14599
TOTAL	THS_T	EL245	:	1649	1376	1110	1981	2234	5037	5970
TOTAL	THS_T	EL251	:	3028	2144	2683	2902	3677	1794	3290
TOTAL	THS_T	EL252	:	17821	10495	6004	15791	13824	16852	12679
TOTAL	THS_T	EL253	:	6957	4936	7691	15696	12799	13399	13141
TOTAL	THS_T	EL254	:	2294	527	996	519	921	1839	4191
TOTAL	THS_T	EL255	:	1902	1718	3695	1393	6659	4436	6219
TOTAL	THS_T	EL300	:	44495	54304	50505	41367	110454	117036	127059
TOTAL	THS_T	EL301	881	:	:	:	:	:	:	:
TOTAL	THS_T	EL302	2236	:	:	:	:	:	:	:
TOTAL	THS_T	EL303	5124	:	:	:	:	:	:	:
TOTAL	THS_T	EL304	1251	:	:	:	:	:	:	:
TOTAL	THS_T	EL305	3534	:	:	:	:	:	:	:
TOTAL	THS_T	EL306	11718	:	:	:	:	:	:	:
TOTAL	THS_T	EL307	41979	:	:	:	:	:	:	:
TOTAL	THS_T	EL411	3167	1435	1813	1201	961	1326	1954	3233
TOTAL	THS_T	EL412	192	44	2080	:	161	:	6	2295
TOTAL	THS_T	EL413	697	529	979	353	292	1104	3031	1216
TOTAL	THS_T	EL421	3279	3958	5595	3523	7901	7749	3940	4394
TOTAL	THS_T	EL422	6133	5833	5296	1954	2724	7017	9329	11829
TOTAL	THS_T	EL431	3291	10399	18030	10864	19901	13195	18448	18088
TOTAL	THS_T	EL432	1186	2036	1108	3958	9030	6397	4308	4180
TOTAL	THS_T	EL433	3522	3192	1888	1379	2743	2001	2031	3140
TOTAL	THS_T	EL434	3081	5107	4129	3159	5092	8355	4278	8380
TOTAL	THS_T	EL511	1428	:	:	:	:	:	:	:
TOTAL	THS_T	EL512	1495	:	:	:	:	:	:	:
TOTAL	THS_T	EL513	962	:	:	:	:	:	:	:
TOTAL	THS_T	EL514	4198	:	:	:	:	:	:	:
TOTAL	THS_T	EL515	1233	:	:	:	:	:	:	:
TOTAL	THS_T	EL521	4287	:	:	:	:	:	:	:
TOTAL	THS_T	EL522	13373	:	:	:	:	:	:	:
TOTAL	THS_T	EL523	1295	:	:	:	:	:	:	:
TOTAL	THS_T	EL524	4098	:	:	:	:	:	:	:
TOTAL	THS_T	EL525	2073	:	:	:	:	:	:	:
TOTAL	THS_T	EL526	5993	:	:	:	:	:	:	:
TOTAL	THS_T	EL527	26289	:	:	:	:	:	:	:
TOTAL	THS_T	EL531	104053	:	:	:	:	:	:	:
TOTAL	THS_T	EL532	3668	:	:	:	:	:	:	:
TOTAL	THS_T	EL533	27017	:	:	:	:	:	:	:
TOTAL	THS_T	EL541	5303	:	:	:	:	:	:	:
TOTAL	THS_T	EL542	1135	:	:	:	:	:	:	:
TOTAL	THS_T	EL543	4825	:	:	:	:	:	:	:
TOTAL	THS_T	EL611	10352	:	:	:	:	:	:	:
TOTAL	THS_T	EL612	7604	:	:	:	:	:	:	:
TOTAL	THS_T	EL613	3145	:	:	:	:	:	:	:
TOTAL	THS_T	EL621	18	:	:	:	:	:	:	:
TOTAL	THS_T	EL622	40	:	:	:	:	:	:	:
TOTAL	THS_T	EL623	484	:	:	:	:	:	:	:
TOTAL	THS_T	EL624	41	:	:	:	:	:	:	:
TOTAL	THS_T	EL631	10669	:	:	:	:	:	:	:
TOTAL	THS_T	EL632	31711	:	:	:	:	:	:	:
TOTAL	THS_T	EL633	3138	:	:	:	:	:	:	:
TOTAL	THS_T	EL641	7194	:	:	:	:	:	:	:
TOTAL	THS_T	EL642	5163	:	:	:	:	:	:	:
TOTAL	THS_T	EL643	1714	:	:	:	:	:	:	:
TOTAL	THS_T	EL644	5705	:	:	:	:	:	:	:
TOTAL	THS_T	EL645	2994	:	:	:	:	:	:	:
TOTAL	THS_T	EL651	10066	:	:	:	:	:	:	:
TOTAL	THS_T	EL652	7451	:	:	:	:	:	:	:
TOTAL	THS_T	EL653	5187	:	:	:	:	:	:	:
TOTAL	THS_T	ES111	39380	35621	36075	41199	44136	43510	44378	54544
TOTAL	THS_T	ES112	13355	17513	15255	15647	21510	23136	19759	22606
TOTAL	THS_T	ES113	8378	8039	8774	11078	10219	13710	11078	13989
TOTAL	THS_T	ES114	21658	26504	22746	30424	32708	35373	36893	36661
TOTAL	THS_T	ES120	36831	34948	32305	40710	49067	53466	66382	64464
TOTAL	THS_T	ES130	24999	25189	15515	19223	25690	25763	26697	32266
TOTAL	THS_T	ES211	12841	12756	10549	10794	17684	14923	18672	18103
TOTAL	THS_T	ES212	17347	21668	18728	20795	21097	26284	31792	30626
TOTAL	THS_T	ES213	31643	34884	30627	29784	36187	38737	40490	54157
TOTAL	THS_T	ES220	31930	23946	27963	27792	34264	39239	33300	48666
TOTAL	THS_T	ES230	12310	10144	9111	9180	11477	17994	15366	22675
TOTAL	THS_T	ES241	14258	11592	15493	14169	14297	19786	20817	24057
TOTAL	THS_T	ES242	11396	9130	10432	8737	14635	18581	12960	12704
TOTAL	THS_T	ES243	36178	28993	31710	32050	38248	42681	37855	72222
TOTAL	THS_T	ES300	71715	59265	60197	70372	90243	98531	107318	130649
TOTAL	THS_T	ES411	4654	5358	5601	5532	4659	6612	11064	8892
TOTAL	THS_T	ES412	24748	21482	16831	19648	28399	24517	28217	31096
