geo,unit,product,indic_en,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CZ,KTOE,coking_coal,primary_prod,7239.9,6982.4,6982.2,6608.6,5555.4,5544.3,5398,5207.3,5364.7,5016.3,4843.9,5290.4,5240.6,5128.6,4030.4,4111.7,3541.9,3464.4,3126.1,3135.4
CZ,KTOE,other_bituminous_coal,primary_prod,3260.5,3130.5,3446.6,3774.7,3569.2,3878,4128.3,3876.9,3424.1,3503.1,3566.1,3217.2,3260.6,3209.7,3092.2,3296.1,3637.6,3884.9,2587.7,2461.7
CZ,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,KTOE,lignite/brown_coal,primary_prod,16777,17519.2,17561.2,15718.1,14008.9,15626.3,15820.7,15170.7,15596.4,15043.2,15160,15354,15302.8,14446.9,13730.7,13322.1,13716.1,12792.3,11959.8,11249.4
CZ,KTOE,total_coal,primary_prod,27277.4,27632.1,27990,26101.4,23133.5,25048.6,25347,24254.9,24385.2,23562.6,23570,23861.6,23804,22785.2,20853.3,20729.9,20895.6,20141.6,17673.6,16846.5
DK,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,KTOE,coking_coal,primary_prod,303.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,KTOE,other_bituminous_coal,primary_prod,4194.9,4665.1,3687,3019.3,2814.4,1966.1,1224.6,920.9,1074.3,99.4,0,0,0,0,0,0,0,0,0,0
FR,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,KTOE,lignite/brown_coal,primary_prod,573.2,326.5,421.4,299.3,227.4,120.2,131.6,60.1,3.7,0,0,0,0,0,0,0,0,0,0,0
FR,KTOE,total_coal,primary_prod,5071.2,4991.6,4108.4,3318.6,3041.8,2086.3,1356.2,981,1078,99.4,0,0,0,0,0,0,0,0,0,0
DE,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,1347.2,1391.1,1418.7,1374.3,1377,1372.2,1334,1402,1436,1423,1440,1438.6
